Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2018-03-05;0.297;0.319;0.288;0.290;74140000.0;7820000000.0;25927070538;;6731;46;1.48;187036;14320000000.0;3124
2018-03-06;0.290;0.299;0.276;0.277;57550000.0;7420000000.0;25927070538;;5229;42;1.39;187789;11360000000.0;2377
2018-03-07;0.277;0.280;0.224;0.241;61460000.0;6660000000.0;25927070538;;6081;33;1.35;18866;9850000000.0;2778
2018-03-08;0.241;0.247;0.210;0.212;43120000.0;5920000000.0;25927070538;;8287;30;1.27;19041;10990000000.0;3483
2018-03-09;0.213;0.218;0.184;0.214;73060000.0;5180000000.0;25927070538;;7572;30;1.17;191766;9990000000.0;3348
2018-03-10;0.215;0.222;0.198;0.201;30340000.0;5530000000.0;25927070538;;5046;28;1.16;192663;5890000000.0;2094
2018-03-11;0.201;0.224;0.190;0.218;48040000.0;5390000000.0;25927070538;;4875;30;1.2;193453;5560000000.0;2049
2018-03-12;0.219;0.232;0.209;0.217;54480000.0;5710000000.0;25927070538;;5141;30;1.13;194486;6070000000.0;2217
2018-03-13;0.216;0.226;0.209;0.218;36470000.0;5630000000.0;25927070538;;4769;25;1.13;1949;4510000000.0;197
2018-03-14;0.219;0.230;0.186;0.193;46360000.0;5510000000.0;25927070538;;506;23;1.16;195609;3840000000.0;233
2018-03-15;0.193;0.196;0.168;0.181;41710000.0;4650000000.0;25927070538;;631;23;1.14;196422;4070000000.0000005;291
2018-03-16;0.182;0.183;0.171;0.175;29660000.0;4600000000.0;25927070538;;5313;22;1.14;197118;2800000000.0;2385
2018-03-17;0.175;0.176;0.150;0.151;38520000.0;4219999999.9999995;25927070538;;5015;21;1.12;197757;2170000000.0;2185
2018-03-18;0.151;0.162;0.124;0.154;55750000.0;3610000000.0;25927070538;;8432;21;1.13;199483;3430000000.0;3563
2018-03-19;0.156;0.191;0.153;0.191;71890000.0;4390000000.0;25927070538;;6341;23;1.42;200476;3220000000.0;2932
2018-03-20;0.190;0.207;0.174;0.201;58470000.0;4950000000.0;25927070538;;5533;24;1.42;201215;2480000000.0;2495
2018-03-21;0.202;0.224;0.198;0.208;65629999.99999999;5500000000.0;25927070538;;5484;25;1.4;201909;2270000000.0;2515
2018-03-22;0.208;0.217;0.185;0.199;55760000.0;5160000000.0;25927070538;;591;24;1.39;202791;2730000000.0;2584
2018-03-23;0.198;0.199;0.180;0.188;40480000.0;4810000000.0;25927070538;;532;24;1.38;203728;2020000000.0;2456
2018-03-24;0.188;0.202;0.180;0.185;57250000.0;4900000000.0;25927070538;;786;24;1.38;204656;1780000000.0;3837
2018-03-25;0.184;0.187;0.179;0.181;32540000.0;4740000000.0;25927070538;;4084;24;1.37;205252;1990000000.0;181
2018-03-26;0.182;0.183;0.157;0.164;46530000.0;4360000000.0;25927070538;;4351;23;1.39;205801;2470000000.0;2035
2018-03-27;0.164;0.166;0.149;0.152;34250000.0;4040000000.0;25927070538;;2606;20;1.39;206234;886000000.0;1012
2018-03-28;0.152;0.163;0.151;0.157;26310000.0;4090000000.0;25927070538;;2824;20;1.35;206582;877000000.0;1196
2018-03-29;0.157;0.158;0.139;0.142;35170000.0;3840000000.0;25927070538;;4736;20;1.37;20725;1710000000.0;224
2018-03-30;0.142;0.149;0.131;0.142;37830000.0;3630000000.0;25927070538;;4228;19;1.37;207804;1020000000.0;2054
2018-03-31;0.143;0.160;0.140;0.152;36390000.0;3890000000.0;25927070538;;3863;20;1.39;20832;803000000.0;2107
2018-04-01;0.152;0.157;0.137;0.147;34220000.0;3810000000.0;25927070538;;3321;20;1.39;208755;1780000000.0;15
2018-04-02;0.147;0.153;0.145;0.153;31150000.0;3880000000.0;25927070538;;3363;20;1.4;209232;1060000000.0;1504
2018-04-03;0.153;0.171;0.152;0.170;50920000.0;4200000000.0;25927070538;;4928;22;1.46;209712;793000000.0;239
2018-04-04;0.169;0.176;0.149;0.152;51530000.0;4210000000.0;25927070538;;4149;20;1.49;210234;832000000.0;197
2018-04-05;0.152;0.153;0.140;0.146;51050000.0;3790000000.0;25927070538;;7046;20;1.49;210887;1260000000.0;3683
2018-04-06;0.147;0.149;0.139;0.143;21020000.0;3710000000.0;25927070538;;5546;20;1.49;212175;817000000.0;2562
2018-04-07;0.143;0.151;0.142;0.147;19970000.0;3820000000.0;25927070538;;3947;20;1.44;212748;416000000.0;187
2018-04-08;0.147;0.159;0.147;0.156;38710000.0;3970000000.0;25927070538;;4098;20;1.41;213267;422000000.0;1976
2018-04-09;0.156;0.167;0.144;0.151;71900000.0;4030000000.0000005;25927070538;;3923;20;1.42;213716;459000000.0;1818
2018-04-10;0.151;0.158;0.147;0.155;25490000.0;3940000000.0;25927070538;;4133;20;1.41;214134;442000000.0;1893
2018-04-11;0.155;0.169;0.153;0.166;50370000.0;4170000000.0;25927070538;;4339;22;1.4;214532;503000000.0;2295
2018-04-12;0.166;0.220;0.165;0.215;216000000.0;4920000000.0;25927070538;;716;30;1.73;21504;1020000000.0;3686
2018-04-13;0.216;0.225;0.197;0.201;80330000.0;5510000000.0;25927070538;;5682;26;1.75;215473;1870000000.0;2546
2018-04-14;0.200;0.210;0.197;0.204;31680000.0;5280000000.0;25927070538;;3693;28;1.69;215957;1590000000.0;1712
2018-04-15;0.204;0.229;0.204;0.226;43730000.0;5690000000.0;25927070538;;4857;31;1.71;216572;1980000000.0;2372
2018-04-16;0.226;0.257;0.212;0.256;184000000.0;6190000000.0;25927070538;;7496;37;1.75;217935;3220000000.0;3256
2018-04-17;0.256;0.274;0.242;0.243;179000000.0;6670000000.0;25927070538;;9137;33;1.69;219605;3960000000.0;4087
2018-04-18;0.242;0.264;0.242;0.262;79640000.0;6540000000.0;25927070538;;5473;38;1.7;220015;1410000000.0;2406
2018-04-19;0.262;0.274;0.259;0.269;82870000.0;6940000000.0;25927070538;;6612;39;1.54;220743;2530000000.0;335
2018-04-20;0.270;0.306;0.268;0.301;136000000.0;7410000000.0;25927070538;;6655;44;1.57;221558;1190000000.0;3075
2018-04-21;0.301;0.307;0.268;0.287;118000000.0;7450000000.0;25927070538;;5349;43;1.59;222225;652000000.0;2265
2018-04-22;0.287;0.298;0.278;0.282;53650000.0;7460000000.0;25927070538;;4965;42;1.58;222844;629000000.0;2128
2018-04-23;0.282;0.289;0.280;0.288;46350000.0;7390000000.0;25927070538;;5244;43;1.56;223417;820000000.0;2275
