"Date","Real","Pred"
2018-03-05,0.2935,NA
2018-03-06,0.2835,NA
2018-03-07,0.259,NA
2018-03-08,0.2265,NA
2018-03-09,0.2135,NA
2018-03-10,0.208,NA
2018-03-11,0.2095,NA
2018-03-12,0.218,NA
2018-03-13,0.217,NA
2018-03-14,0.206,NA
2018-03-15,0.187,NA
2018-03-16,0.1785,NA
2018-03-17,0.163,NA
2018-03-18,0.1525,NA
2018-03-19,0.1735,NA
2018-03-20,0.1955,NA
2018-03-21,0.205,NA
2018-03-22,0.2035,NA
2018-03-23,0.193,NA
2018-03-24,0.1865,NA
2018-03-25,0.1825,NA
2018-03-26,0.173,NA
2018-03-27,0.158,NA
2018-03-28,0.1545,NA
2018-03-29,0.1495,NA
2018-03-30,0.142,NA
2018-03-31,0.1475,NA
2018-04-01,0.1495,NA
2018-04-02,0.15,NA
2018-04-03,0.1615,NA
2018-04-04,0.1605,NA
2018-04-05,0.149,NA
2018-04-06,0.145,NA
2018-04-07,0.145,NA
2018-04-08,0.1515,NA
2018-04-09,0.1535,NA
2018-04-10,0.153,NA
2018-04-11,0.1605,NA
2018-04-12,0.1905,NA
2018-04-13,0.2085,NA
2018-04-14,0.202,NA
2018-04-15,0.215,NA
2018-04-16,0.241,NA
2018-04-17,0.2495,NA
2018-04-18,0.252,NA
2018-04-19,0.2655,NA
2018-04-20,0.2855,NA
2018-04-21,0.294,NA
2018-04-22,0.2845,NA
2018-04-23,0.285,NA
2018-04-24,0.2985,NA
2018-04-25,0.289,NA
2018-04-26,0.2805,NA
2018-04-27,0.2885,NA
2018-04-28,0.32,NA
2018-04-29,0.359,NA
2018-04-30,0.3515,NA
2018-05-01,0.348,NA
2018-05-02,0.363,NA
2018-05-03,0.3685,NA
2018-05-04,0.362,NA
2018-05-05,0.361,NA
2018-05-06,0.3545,NA
2018-05-07,0.338,NA
2018-05-08,0.3265,NA
2018-05-09,0.32,NA
2018-05-10,0.305,NA
2018-05-11,0.274,NA
2018-05-12,0.2605,NA
2018-05-13,0.272,NA
2018-05-14,0.272,NA
2018-05-15,0.26,NA
2018-05-16,0.2535,NA
2018-05-17,0.246,NA
2018-05-18,0.2415,NA
2018-05-19,0.2425,NA
2018-05-20,0.248,NA
2018-05-21,0.2505,NA
2018-05-22,0.233,NA
2018-05-23,0.209,NA
2018-05-24,0.2025,NA
2018-05-25,0.2025,NA
2018-05-26,0.1965,NA
2018-05-27,0.1935,NA
2018-05-28,0.1825,NA
2018-05-29,0.1875,NA
2018-05-30,0.205,NA
2018-05-31,0.2155,NA
2018-06-01,0.2215,NA
2018-06-02,0.2235,NA
2018-06-03,0.226,NA
2018-06-04,0.2195,NA
2018-06-05,0.215,NA
2018-06-06,0.216,NA
2018-06-07,0.212,NA
2018-06-08,0.2075,NA
2018-06-09,0.2025,NA
2018-06-10,0.187,NA
2018-06-11,0.176,NA
2018-06-12,0.1715,NA
2018-06-13,0.1605,NA
2018-06-14,0.1645,NA
2018-06-15,0.166,NA
2018-06-16,0.1615,NA
2018-06-17,0.161,NA
2018-06-18,0.1625,NA
2018-06-19,0.1655,NA
2018-06-20,0.1645,NA
2018-06-21,0.16,NA
2018-06-22,0.148,NA
2018-06-23,0.1375,NA
2018-06-24,0.134,NA
2018-06-25,0.133,NA
2018-06-26,0.13,NA
2018-06-27,0.126,NA
2018-06-28,0.1225,NA
2018-06-29,0.1215,NA
2018-06-30,0.132,NA
2018-07-01,0.14,NA
2018-07-02,0.148,NA
2018-07-03,0.1515,NA
2018-07-04,0.1505,NA
2018-07-05,0.149,NA
2018-07-06,0.146,NA
2018-07-07,0.1465,NA
2018-07-08,0.1465,NA
2018-07-09,0.142,NA
2018-07-10,0.1335,NA
2018-07-11,0.1295,NA
2018-07-12,0.129,NA
2018-07-13,0.1325,NA
2018-07-14,0.137,NA
2018-07-15,0.1395,NA
2018-07-16,0.1495,NA
2018-07-17,0.1635,NA
2018-07-18,0.1755,NA
2018-07-19,0.181,NA
2018-07-20,0.1715,NA
2018-07-21,0.1625,NA
2018-07-22,0.166,NA
2018-07-23,0.1665,NA
2018-07-24,0.1685,NA
2018-07-25,0.1725,NA
2018-07-26,0.1685,NA
2018-07-27,0.165,NA
2018-07-28,0.165,NA
