Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2018-03-05;1284.56;1291.78;1254.93;1256.17;107000000.0;21750000000.0;17006213.83;2250000.0;50721;193;1.78;16305104;522000000.0;39092;1270.365
2018-03-06;1254.32;1255.56;1172.94;1205.14;239000000.0;20800000000.0;17008038.84;2190000.0;50838;187;1.78;16307922;261000000.0;18773;1229.73
2018-03-07;1203.69;1219.44;1033.17;1092.45;163000000.0;19380000000.0;17009863.84;1990000.0;47686;172;1.78;16312249;208000000.0;17526;1148.0700000000002
2018-03-08;1090.51;1113.19;993.34;1031.71;150000000.0;18100000000.0;17011701.37;1900000.0;48898;161;1.58;16317580;266000000.0;18757;1061.1100000000001
2018-03-09;1032.59;1074.48;922.67;1064.36;328000000.0;16739999999.999998;17013463.88;1870000.0;60485;162;1.55;16308337;258000000.0;18976;1048.475
2018-03-10;1063.66;1087.02;986.24;1000.61;110000000.0;17840000000.0;17015351.4;1890000.0;42781;116;1.57;16311289;141000000.0;14013;1032.135
2018-03-11;1000.32;1155.78;964.33;1138.95;301000000.0;18130000000.0;17017151.4;2040000.0;46583;178;1.15;16311080;222000000.0;14284;1069.635
2018-03-12;1139.96;1149.79;1009.1;1048.66;145000000.0;18590000000.0;17018926.41;1870000.0;45481;163;1.18;16312183;169000000.0;1541;1094.31
2018-03-13;1048.34;1099.66;990.75;1052.06;157000000.0;17870000000.0;17020738.93;1920000.0;46802;163;1.17;16313041;276000000.0;17109;1050.1999999999998
2018-03-14;1054.92;1071.61;910.61;943.95;130000000.0;17149999999.999998;17022463.96;1640000.0;46973;110;1.21;16316572;207000000.0;1927;999.4350000000001
2018-03-15;943.91;953.47;869.8;939.64;111000000.0;15580000000.0;17024263.97;1690000.0;4802;110;1.19;16319272;188000000.0;1804;941.775
2018-03-16;940.42;1061.11;895.2;970.39;150000000.0;16670000000.000002;17026076.48;1780000.0;49187;114;1.2;16323638;260000000.0;19245;955.405
2018-03-17;969.96;1028.31;924.82;944.83;227000000.0;16579999999.999998;17027963.98;1790000.0;41518;110;1.13;16323257;159000000.0;15477;957.395
2018-03-18;943.86;947.35;844.45;933.4;130000000.0;15260000000.0;17029776.49;1690000.0;41353;110;1.12;16324947;113000000.0;14615;938.63
2018-03-19;936.87;998.46;907.56;992.84;130000000.0;16239999999.999998;17031626.5;1830000.0;5144;114;1.05;16320322;263000000.0;15686;964.855
2018-03-20;992.0;1072.67;950.14;1061.3;148000000.0;17270000000.0;17033351.51;1820000.0;51009;161;1.08;16323754;414000000.0;19001;1026.65
2018-03-21;1062.53;1083.17;1006.99;1029.18;116000000.0;17820000000.0;17035089.02;1780000.0;57236;161;1.07;16328531;452000000.0;18801;1045.855
2018-03-22;1030.29;1063.87;984.28;1011.53;106000000.0;17370000000.0;17036839.03;1770000.0;48241;159;1.06;16329897;306000000.0;16723;1020.91
2018-03-23;1010.24;1028.34;957.98;1027.97;86980000.0;16840000000.0;17038726.53;1920000.0;44455;159;1.03;16333323;201000000.0;15696;1019.105
2018-03-24;1027.47;1034.99;967.0;970.48;60940000.0;17220000000.0;17040489.05;1730000.0;41077;114;1.01;16337069;91460000.0;13656;998.975
2018-03-25;969.59;990.01;963.04;968.95;51370000.0;16649999999.999998;17042264.06;1720000.0;41013;112;1;16340466;118000000.0;13378;969.27
2018-03-26;970.36;974.41;883.2;910.84;83480000.0;15840000000.0;17044064.06;1650000.0;4632;107;1;16343106;220000000.0;15873;940.6
2018-03-27;911.68;928.52;869.77;873.63;88510000.0;15360000000.0;17046001.57;1700000.0;4681;106;0.99;16346445;273000000.0;17983;892.655
2018-03-28;873.53;895.83;848.2;858.33;86290000.0;14900000000.0;17047551.7;1330000.0;48275;102;0.99;16352355;470000000.0;78188;865.9300000000001
2018-03-29;858.19;867.3;693.8;708.88;174000000.0;13040000000.0;17049364.21;1300000.0;49543;90;1.11;16355173;399000000.0;21649;783.5350000000001
2018-03-30;708.26;770.33;672.36;696.17;266000000.0;12090000000.0;17051089.22;1200000.0;49502;87;1.11;16359036;261000000.0;2058;702.2149999999999
2018-03-31;696.0;735.85;678.9;682.47;84870000.0;11980000000.0;17052939.24;1260000.0;45396;86;1.11;16361852;712000000.0;17359;689.235
2018-04-01;683.41;697.56;624.33;642.08;179000000.0;11140000000.0;17054851.74;1230000.0;41782;75;1.08;16365077;981000000.0;13602;662.745
2018-04-02;642.47;685.28;637.66;660.74;137000000.0;11330000000.0;17056489.25;1080000.0;48588;77;1.09;16364280;310000000.0;16886;651.605
2018-04-03;661.79;722.97;656.92;708.01;69690000.0;11850000000.0;17058364.25;1330000.0;95169;88;1.13;16333347;830000000.0;22703;684.9
2018-04-04;707.68;708.32;634.74;646.36;70530000.0;11380000000.0;17060201.77;1190000.0;48628;74;1.15;16336460;812000000.0;19612;677.02
2018-04-05;646.37;655.9;616.69;640.08;102000000.0;10850000000.0;17061839.27;1050000.0;4397;74;1.15;16339439;238000000.0;16291;643.225
2018-04-06;640.58;645.55;600.84;608.52;54270000.0;10520000000.0;17063664.28;1110000.0;49108;72;1.15;16340343;190000000.0;16988;624.55
2018-04-07;608.5;654.69;607.82;638.75;46270000.0;10850000000.0;17065564.38;1220000.0;41943;74;1.15;16339340;159000000.0;12748;623.625
2018-04-08;638.44;659.88;637.72;653.56;120000000.0;11090000000.0;17067314.38;1140000.0;3733;75;1.15;16345107;158000000.0;11201;646.0
2018-04-09;653.56;680.95;624.42;637.0;188000000.0;11110000000.0;17069126.89;1150000.0;50692;74;1.14;16335090;127000000.0;12031;645.28
2018-04-10;636.91;657.62;624.88;649.33;36310000.0;10950000000.0;17070939.39;1180000.0;36097;74;1.13;16337665;151000000.0;11426;643.12
2018-04-11;649.05;669.85;648.36;668.44;45550000.0;11140000000.0;17072814.4;1240000.0;36992;78;1.01;16340474;181000000.0;11881;658.745
2018-04-12;668.06;739.77;656.41;736.29;211000000.0;11940000000.0;17074326.91;1110000.0;41307;91;1.06;16342087;223000000.0;15032;702.175
2018-04-13;736.05;785.98;720.2;741.64;103000000.0;12880000000.0;17076239.42;1420000.0;44156;92;1.06;16346699;264000000.0;14777;738.845
2018-04-14;742.16;761.36;718.42;736.68;49130000.0;12640000000.0;17078139.42;1400000.0;37027;92;1.01;16350423;85120000.0;11312;739.42
2018-04-15;736.6;787.3;736.26;780.5;60640000.0;13090000000.0;17079939.43;1400000.0;43383;93;1.03;16357344;108000000.0;14733;758.55
2018-04-16;781.03;799.67;742.18;766.91;72000000.0;13090000000.0;17081714.43;1360000.0;43704;93;1.03;16363539;292000000.0;17205;773.97
2018-04-17;767.43;787.47;751.01;757.73;59260000.0;13170000000.0;17083501.94;1350000.0;4105;92;1.02;16366116;176000000.0;16218;762.5799999999999
2018-04-18;756.93;901.76;756.35;895.15;306000000.0;14440000000.0;17085426.95;1720000.0;47401;107;1.2;16370532;316000000.0;18036;826.04
2018-04-19;895.34;983.42;878.67;965.68;166000000.0;15930000000.0;17087339.45;1850000.0;49442;111;1.21;16372659;619000000.0;19716;930.51
2018-04-20;966.49;1150.31;942.02;1125.37;572000000.0;18160000000.0;17089189.46;2089999.9999999998;55718;175;1.32;16376789;761000000.0;21728;1045.9299999999998
2018-04-21;1125.86;1189.14;1016.04;1154.51;636000000.0;19040000000.0;17091126.96;2230000.0;46097;176;1.32;16381223;292000000.0;18422;1140.185
