Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Addresses Count;Addresses with balance > $10M;Transaction Volume;Transactions Count;Price
2018-03-05;10.41;10.49;10.01;10.04;30760000.0;1020000000.0;99013999.96;206;1.64;294604;3;3260000.0;181;10.225
2018-03-06;10.0;10.11;9.12;9.4;29760000.0;955000000.0;99013999.97;250;1.66;294623;3;360000.0;225;9.7
2018-03-07;9.4;10.22;8.15;9.06;67060000.0;919000000.0;99013999.96;293;1.59;294562;3;620000.0;260;9.23
2018-03-08;9.04;9.17;8.01;8.29;41710000.0;844000000.0;99013999.97;250;1.45;294673;3;960000.0;242;8.665
2018-03-09;8.26;8.34;7.08;8.3;32110000.0;761000000.0;99013999.94;212;1.2;294741;3;2560000.0;204;8.280000000000001
2018-03-10;8.32;8.37;7.59;7.66;36420000.0;803000000.0;99014000.02;288;1.23;294778;3;640000.0;274;7.99
2018-03-11;7.66;8.43;7.21;8.26;37390000.0;787000000.0;99013999.97;155;1.25;294844;3;770000.0;126;7.96
2018-03-12;8.26;8.52;7.67;8.03;43890000.0;817000000.0;99013999.96;178;1.19;294919;3;190000.0;140;8.145
2018-03-13;8.01;11.07;7.85;10.18;192000000.0;969000000.0;99013999.95;344;1.49;294988;3;2840000.0;374;9.094999999999999
2018-03-14;10.22;10.67;8.48;8.94;118000000.0;974000000.0;99013999.96;304;1.54;295106;3;960000.0;296;9.58
2018-03-15;8.94;9.44;8.3;9.12;85240000.0;887000000.0;99014000.03;216;1.53;295197;3;680000.0;207;9.03
2018-03-16;9.13;9.39;8.57;9.07;80620000.0;898000000.0;99013999.97;176;1.52;295276;3;690000.0;158;9.100000000000001
2018-03-17;9.1;9.52;8.64;8.95;78860000.0;897000000.0;99013999.96;189;1.42;295356;3;620000.0;172;9.024999999999999
2018-03-18;8.93;8.98;7.8;8.98;72280000.0;828000000.0;99014000;202;1.41;295459;3;360000.0;196;8.955
2018-03-19;9.02;9.35;8.46;9.03;72980000.0;875000000.0;99014000.05;242;1.41;295494;3;1130000.0;214;9.024999999999999
2018-03-20;9.01;9.26;8.61;9.17;72680000.0;886000000.0;99013999.97;189;1.4;295573;3;160000.0;162;9.09
2018-03-21;9.2;10.33;9.04;9.97;101000000.0;957000000.0;99014000;253;1.4;295625;3;1600000.0;268;9.585
2018-03-22;9.97;10.94;9.49;10.08;98750000.0;1010000000.0;99014000.01;291;1.39;295715;3;1290000.0;284;10.025
2018-03-23;10.06;11.99;9.5;11.76;135000000.0;1060000000.0;99014000.03;300;1.45;295852;3;3320000.0;314;10.91
2018-03-24;11.73;14.95;11.55;13.22;234000000.0;1300000000.0;99013999.98;419;1.49;296003;4;3270000.0;493;12.475000000000001
2018-03-25;13.23;14.25;12.49;12.92;175000000.0;1320000000.0;99014000;352;1.48;296139;3;5380000.0;365;13.075
2018-03-26;12.92;13.01;10.86;12.05;118000000.0;1180000000.0;99014000.03;349;1.47;296253;3;3540000.0;405;12.485
2018-03-27;12.03;12.25;10.85;11.53;91300000.0;1150000000.0;99013999.99;205;1.46;296343;3;580000.0;206;11.78
2018-03-28;11.53;12.24;11.32;11.66;79580000.0;1160000000.0;99013999.97;194;1.46;296423;3;480000.0;182;11.594999999999999
2018-03-29;11.66;11.73;10.08;10.17;73630000.0;1080000000.0;99014000.04;249;1.52;296482;3;890000.0;224;10.915
2018-03-30;10.16;10.84;9.59;10.39;65440000.0;1000000000.0;99013999.98;206;1.5;296547;3;2029999.9999999998;200;10.275
2018-03-31;10.39;11.47;10.26;11.05;79280000.0;1080000000.0;99014000.03;209;1.51;296603;3;900000.0;214;10.72
2018-04-01;11.07;11.31;10.32;11.09;79370000.0;1080000000.0;99014000.04;257;1.51;296637;3;3400000.0;322;11.08
