"Date","Real","Pred"
2018-03-05,10.225,NA
2018-03-06,9.7,NA
2018-03-07,9.23,NA
2018-03-08,8.665,NA
2018-03-09,8.28,NA
2018-03-10,7.99,NA
2018-03-11,7.96,NA
2018-03-12,8.145,NA
2018-03-13,9.095,NA
2018-03-14,9.58,NA
2018-03-15,9.03,NA
2018-03-16,9.1,NA
2018-03-17,9.025,NA
2018-03-18,8.955,NA
2018-03-19,9.025,NA
2018-03-20,9.09,NA
2018-03-21,9.585,NA
2018-03-22,10.025,NA
2018-03-23,10.91,NA
2018-03-24,12.475,NA
2018-03-25,13.075,NA
2018-03-26,12.485,NA
2018-03-27,11.78,NA
2018-03-28,11.595,NA
2018-03-29,10.915,NA
2018-03-30,10.275,NA
2018-03-31,10.72,NA
2018-04-01,11.08,NA
2018-04-02,11.855,NA
2018-04-03,12.955,NA
2018-04-04,12.735,NA
2018-04-05,12.335,NA
2018-04-06,12.39,NA
2018-04-07,12.38,NA
2018-04-08,12.31,NA
2018-04-09,12,NA
2018-04-10,11.98,NA
2018-04-11,12.205,NA
2018-04-12,12.655,NA
2018-04-13,13.27,NA
2018-04-14,13.405,NA
2018-04-15,13.18,NA
2018-04-16,12.65,NA
2018-04-17,11.99,NA
2018-04-18,12.03,NA
2018-04-19,12.33,NA
2018-04-20,12.475,NA
2018-04-21,12.96,NA
2018-04-22,13.125,NA
2018-04-23,13.27,NA
2018-04-24,14.39,NA
2018-04-25,14.255,NA
2018-04-26,13.97,NA
2018-04-27,14.45,NA
2018-04-28,14.715,NA
2018-04-29,15.09,NA
2018-04-30,14.675,NA
2018-05-01,14.24,NA
2018-05-02,14.27,NA
2018-05-03,14.53,NA
2018-05-04,14.475,NA
2018-05-05,14.36,NA
2018-05-06,14.17,NA
2018-05-07,13.825,NA
2018-05-08,13.605,NA
2018-05-09,14.065,NA
2018-05-10,14.22,NA
2018-05-11,13.395,NA
2018-05-12,12.975,NA
2018-05-13,13.07,NA
2018-05-14,13.005,NA
2018-05-15,12.695,NA
2018-05-16,12.42,NA
2018-05-17,12.34,NA
2018-05-18,13.76,NA
2018-05-19,14.72,NA
2018-05-20,14.215,NA
2018-05-21,14.42,NA
2018-05-22,14.285,NA
2018-05-23,13.18,NA
2018-05-24,12.76,NA
2018-05-25,13.025,NA
2018-05-26,12.89,NA
2018-05-27,12.675,NA
2018-05-28,12.25,NA
2018-05-29,12.255,NA
2018-05-30,12.595,NA
2018-05-31,13.395,NA
2018-06-01,14.235,NA
2018-06-02,14.47,NA
2018-06-03,14.68,NA
2018-06-04,14.465,NA
2018-06-05,14.935,NA
2018-06-06,16.43,NA
2018-06-07,16.755,NA
2018-06-08,16.255,NA
2018-06-09,16.14,NA
2018-06-10,15.09,NA
2018-06-11,14.82,NA
2018-06-12,15.355,NA
2018-06-13,14.925,NA
2018-06-14,14.72,NA
2018-06-15,14.93,NA
2018-06-16,15.38,NA
2018-06-17,16.185,NA
2018-06-18,16.715,NA
2018-06-19,16.775,NA
2018-06-20,16.395,NA
2018-06-21,16.565,NA
2018-06-22,16.315,NA
2018-06-23,15.605,NA
2018-06-24,15.04,NA
2018-06-25,14.685,NA
2018-06-26,14.475,NA
2018-06-27,14.06,NA
2018-06-28,14.13,NA
2018-06-29,14.335,NA
2018-06-30,14.59,NA
2018-07-01,14.525,NA
2018-07-02,14.475,NA
2018-07-03,14.38,NA
2018-07-04,14.095,NA
2018-07-05,13.885,NA
2018-07-06,13.585,NA
2018-07-07,13.795,NA
2018-07-08,14.095,NA
2018-07-09,13.76,NA
2018-07-10,13.155,NA
2018-07-11,12.74,NA
2018-07-12,12.41,NA
2018-07-13,12.145,NA
2018-07-14,12.115,NA
2018-07-15,12.185,NA
2018-07-16,12.835,NA
2018-07-17,13.56,NA
