Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2018-03-05;11489.72;11677.61;11407.44;11423.77;1270000000.0;195000000000.0;16907818.73;21490000.0;857168;1942;1.25;23504940;8410000000.0;205776;11456.744999999999
2018-03-06;11417.81;11423.01;10569.47;10716.96;3520000000.0;186000000000.0;16909769.57;20820000.0;834323;1822;1.27;23332982;6900000000.0;208778;11067.384999999998
2018-03-07;10713.84;10896.09;9427.62;9918.15;2830000000.0;172000000000.0;16911733.33;19430000.0;922143;1359;1.23;23085266;6420000000.0;212833;10315.994999999999
2018-03-08;9915.76;10123.77;9052.26;9297.13;2290000000.0;163000000000.0;16913759.79;18890000.0;903578;1294;1.12;22782380;6570000000.0;189879;9606.445
2018-03-09;9321.04;9415.32;8361.69;9235.56;5680000000.0;150000000000.0;16915589.01;16930000.0;888997;1288;1.06;22584732;7470000000.0;202179;9278.3
2018-03-10;9236.71;9510.68;8683.19;8780.14;1770000000.0;156000000000.0;16917339.71;15380000.0;803717;1214;1.07;22277527;3850000000.0;149505;9008.425
2018-03-11;8784.16;9742.62;8455.03;9534.9;3850000000.0;154000000000.0;16919252.74;18190000.0;889324;1307;1.07;21914387;4490000000.0;157234;9159.529999999999
2018-03-12;9532.44;9900.0;8773.28;9125.13;2170000000.0;159000000000.0;16921265.83;18410000.0;828676;1286;1.07;21674808;6030000000.0;18523;9328.785
2018-03-13;9126.52;9476.16;8836.81;9143.46;1860000000.0;155000000000.0;16923244.12;18090000.0;773506;1283;1.07;21502357;5790000000.0;199201;9134.99
2018-03-14;9145.03;9372.13;7916.99;8188.18;2280000000.0;146000000000.0;16925045.01;14800000.0;580666;1152;1.11;21520765;5690000000.0;193089;8666.605
2018-03-15;8192.58;8420.0;7669.12;8257.68;2280000000.0;137000000000.0;16926846.82;14880000.0;602746;1158;1.06;21542717;6550000000.0;201087;8225.130000000001
2018-03-16;8251.72;8609.56;7903.04;8260.4;1620000000.0;141000000000.0;16928797.73;16329999.999999998;601517;1186;1.05;21583067;5010000000.0;188256;8256.06
2018-03-17;8256.56;8359.26;7725.07;7853.08;2420000000.0;136000000000.0;16930660.58;14680000.0;452543;1117;0.99;21616702;3200000000.0;151432;8054.82
