"Date","Real","Pred"
2018-03-05,11456.745,NA
2018-03-06,11067.385,NA
2018-03-07,10315.995,NA
2018-03-08,9606.445,NA
2018-03-09,9278.3,NA
2018-03-10,9008.425,NA
2018-03-11,9159.53,NA
2018-03-12,9328.785,NA
2018-03-13,9134.99,NA
2018-03-14,8666.605,NA
2018-03-15,8225.13,NA
2018-03-16,8256.06,NA
2018-03-17,8054.82,NA
2018-03-18,8022.82,NA
2018-03-19,8399.145,NA
2018-03-20,8753.01,NA
2018-03-21,8905.255,NA
2018-03-22,8803.35,NA
2018-03-23,8813.22,NA
2018-03-24,8722.01,NA
2018-03-25,8491.285,NA
2018-03-26,8298.095,NA
2018-03-27,7966.66,NA
2018-03-28,7866.79,NA
2018-03-29,7514.34,NA
2018-03-30,6965.985,NA
2018-03-31,6880.76,NA
2018-04-01,6870.1,NA
2018-04-02,6934.95,NA
2018-04-03,7233.53,NA
2018-04-04,7100.29,NA
2018-04-05,6780.34,NA
2018-04-06,6692.945,NA
2018-04-07,6754.425,NA
2018-04-08,6958.085,NA
2018-04-09,6894.33,NA
2018-04-10,6802.59,NA
2018-04-11,6889.995,NA
2018-04-12,7429.375,NA
2018-04-13,7900.92,NA
2018-04-14,7943.82,NA
2018-04-15,8178.515,NA
2018-04-16,8207.005,NA
2018-04-17,7972.77,NA
2018-04-18,8028.46,NA
2018-04-19,8222.2,NA
2018-04-20,8569.345,NA
2018-04-21,8891.49,NA
2018-04-22,8855.7,NA
2018-04-23,8867.925,NA
2018-04-24,9291.375,NA
2018-04-25,9257.835,NA
2018-04-26,9060.015,NA
2018-04-27,9098.955,NA
2018-04-28,9133.485,NA
2018-04-29,9370.46,NA
2018-04-30,9322.205,NA
2018-05-01,9158.155,NA
2018-05-02,9141.45,NA
2018-05-03,9481.945,NA
2018-05-04,9714.805,NA
2018-05-05,9763.03,NA
2018-05-06,9728.015,NA
2018-05-07,9488.875,NA
2018-05-08,9270.835,NA
2018-05-09,9244.835,NA
2018-05-10,9164.585,NA
2018-05-11,8711.885,NA
2018-05-12,8442.73,NA
2018-05-13,8580.13,NA
2018-05-14,8675.875,NA
2018-05-15,8568.39,NA
2018-05-16,8406.49,NA
2018-05-17,8198.925,NA
2018-05-18,8146.41,NA
2018-05-19,8235.55,NA
2018-05-20,8367.39,NA
2018-05-21,8456.75,NA
2018-05-22,8184.275,NA
2018-05-23,7740.99,NA
2018-05-24,7540.76,NA
2018-05-25,7518.745,NA
2018-05-26,7394.885,NA
2018-05-27,7333.375,NA
2018-05-28,7219.395,NA
2018-05-29,7282.49,NA
2018-05-30,7421.265,NA
2018-05-31,7431.75,NA
2018-06-01,7498.76,NA
2018-06-02,7577.81,NA
2018-06-03,7673.875,NA
2018-06-04,7599.79,NA
2018-06-05,7552.99,NA
2018-06-06,7633.775,NA
2018-06-07,7666.54,NA
2018-06-08,7650.46,NA
