Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2018-03-05;0.00537;0.00556;0.00502;0.00513;4650000.0;603000000.0;113406862052.39;71730.0;5505;6;1.76;2087771;118000000.0;33096;0.0052499999999999995
2018-03-06;0.00512;0.00513;0.0044;0.00461;9640000.0;541000000.0;113420692158.67;62750.0;59269;4;1.74;2090345;135000000.0;34608;0.004865
2018-03-07;0.00454;0.0047;0.00384;0.0039;5230000.0;484000000.0;113434452391.67;54420.0;63476;4;1.73;2089053;126000000.0;30989;0.00422
2018-03-08;0.00391;0.00442;0.00372;0.00392;4130000.0;468000000.0;113448392533.67;55340.0;57371;4;1.59;2092024;105000000.0;28146;0.003915
2018-03-09;0.00395;0.00419;0.00351;0.00412;6980000.0;436000000.0;113462142652.67;56600.0;57529;4;1.38;2094110;142000000.0;21996;0.004035
2018-03-10;0.00411;0.00445;0.00384;0.00395;2280000.0;478000000.0;113475962733.67;54350.0;56072;4;1.39;2095478;82360000.0;20661;0.004030000000000001
2018-03-11;0.00395;0.00436;0.00372;0.0041;2840000.0;458000000.0;113489832796.67;57750.0;5956;4;1.39;2101331;76780000.0;19743;0.004025000000000001
2018-03-12;0.0042;0.00426;0.0037;0.00398;1800000.0;459000000.0;113503642870.67;55100.0;52938;4;1.33;2101395;66379999.99999999;19867;0.00409
2018-03-13;0.00397;0.00417;0.00376;0.00384;1140000.0;447000000.0;113517502969.9;54100.0;54266;4;1.34;2102515;68140000.0;19286;0.0039049999999999996
2018-03-14;0.00386;0.00402;0.00334;0.00344;1680000.0;421000000.0;113531383019.3;48630.0;50042;4;1.38;2105359;86180000.0;18192;0.00365
2018-03-15;0.00344;0.0036;0.00315;0.00347;1730000.0;384000000.0;113545133145.95;48660.0;57682;4;1.35;2104353;80180000.0;20955;0.0034549999999999997
2018-03-16;0.00348;0.00368;0.00332;0.00339;1240000.0;398000000.0;113558853262.95;47920.0;49883;4;1.34;2105027;58160000.0;19341;0.0034349999999999997
2018-03-17;0.00342;0.00358;0.0031;0.00324;2980000.0;379000000.0;113572573352.95;44270.0;54443;3;1.14;2107539;49560000.0;19852;0.0033299999999999996
2018-03-18;0.00326;0.00329;0.00266;0.0032;3170000.0;335000000.0;113586413409.95;43480.0;57577;3;1.1;2110495;42830000.0;21005;0.0032300000000000002
2018-03-19;0.00318;0.00362;0.00309;0.00344;1870000.0;379000000.0;113600253704.23;47700.0;6129;3;1.15;2114087;58660000.0;23247;0.00331
2018-03-20;0.00339;0.00379;0.00331;0.00365;1110000.0;399000000.0;113614023800.03;50140.0;51552;4;1.2;2115521;54180000.0;20723;0.0035199999999999997
2018-03-21;0.00364;0.00385;0.00352;0.00365;1270000.0;419000000.0;113627833848.03;49660.0;57679;4;1.16;2118826;49890000.0;20407;0.003645
2018-03-22;0.00361;0.00381;0.0034;0.00357;660000.0;404000000.0;113641603902.03;48580.0;54867;4;1.15;2123148;75190000.0;19656;0.00359
2018-03-23;0.00348;0.00357;0.00323;0.00354;1240000.0;385000000.0;113655443945.03;48350.0;59346;4;1.09;2127746;44920000.0;21218;0.00351
2018-03-24;0.00348;0.00369;0.00332;0.00344;1270000.0;404000000.0;113669254019.03;47970.0;55451;4;1.08;2131306;41990000.0;20642;0.00346
2018-03-25;0.0034;0.00355;0.00331;0.0034;630000.0;392000000.0;113683104070.03;47450.0;72469;3;1.07;2132746;39240000.0;211;0.0034
2018-03-26;0.00338;0.00348;0.00307;0.00326;1150000.0;374000000.0;113697014152.03;45000.0;59275;3;1.03;2130204;43560000.0;23928;0.00332
2018-03-27;0.00318;0.00332;0.00302;0.00304;780000.0;360000000.0;113710844186.03;42940.0;5451;3;1.03;2133494;41870000.0;20744;0.00311
2018-03-28;0.00304;0.00324;0.00302;0.0031;730000.0;356000000.0;113724524234.78;42980.0;50148;3;1.04;2133448;42330000.0;21089;0.00307
2018-03-29;0.00313;0.00318;0.00263;0.00277;1300000.0;331000000.0;113738464274.78;38460.0;56807;3;1.06;2134178;47650000.0;23691;0.00295
