Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2018-03-05;8.13;8.27;7.89;7.91;59220000.0;5750000000.0;707168090.58;;1.55;;
2018-03-06;7.91;7.91;7.00;7.14;139000000.0;5300000000.0;709941587.96;;1.57;;
2018-03-07;7.13;7.27;5.95;6.41;139000000.0;4760000000.0;712343403.43;;1.52;;
2018-03-08;6.40;6.66;5.88;6.09;85430000.0;4490000000.0;714365793.13;;1.35;;
2018-03-09;6.10;6.17;5.18;6.01;232000000.0;4040000000.0;716453664.07;;1.21;;
2018-03-10;6.01;6.43;5.62;5.65;78820000.0;4370000000.0;718428699.16;;1.2;;
2018-03-11;5.64;6.20;5.41;6.05;111000000.0;4179999999.9999995;720033285.4;;1.19;;
2018-03-12;6.05;6.17;5.57;5.72;66410000.0;4280000000.0000005;721824918;;1.07;;
2018-03-13;5.72;5.94;5.55;5.78;67010000.00000001;4179999999.9999995;724540828.25;;1.06;;
2018-03-14;5.80;5.93;5.13;5.26;81110000.0;4050000000.0;726585425.68;;1.08;;
2018-03-15;5.26;5.31;4.78;5.12;88290000.0;3690000000.0;728521299.63;;1.02;;
2018-03-16;5.12;5.32;4.88;5.03;62340000.0;3730000000.0;730567792.34;;1.02;;
2018-03-17;5.03;5.08;4.54;4.61;89330000.0;3570000000.0;732582070.23;;0.95;;
2018-03-18;4.60;4.76;3.88;4.61;112000000.0;3140000000.0;734509257;;0.95;;
2018-03-19;4.63;6.25;4.51;6.18;169000000.0;3810000000.0;736535740.85;;1.55;;
2018-03-20;6.16;6.35;5.34;5.93;185000000.0;4340000000.0;738079580.31;;1.54;;
2018-03-21;5.94;7.27;5.87;6.89;215000000.0;4750000000.0;740566399.16;;1.63;;
2018-03-22;6.90;7.26;6.15;6.88;235000000.0;5030000000.0;742630105.62;;1.62;;
2018-03-23;6.88;7.04;6.24;6.94;197000000.0;4970000000.0;744587299.68;;1.6;;
2018-03-24;6.94;7.05;6.47;6.49;116000000.0;5110000000.0;746625899.59;;1.61;;
2018-03-25;6.48;6.67;6.38;6.43;83280000.0;4900000000.0;749706993.27;;1.59;;
2018-03-26;6.43;6.49;5.27;5.79;182000000.0;4410000000.0;751941819.19;;1.61;;
2018-03-27;5.80;6.49;5.20;5.80;230000000.0;4400000000.0;753780917.2;;1.6;;
2018-03-28;5.79;6.45;5.63;6.20;140000000.0;4640000000.0;755451384.42;;1.62;;
2018-03-29;6.19;6.27;5.76;5.86;179000000.0;4530000000.0;757190794.68;;1.62;;
2018-03-30;5.86;6.16;5.68;6.01;263000000.0;4480000000.0;759226484.6;;1.61;;
2018-03-31;6.01;6.16;5.86;5.92;82050000.0;4580000000.0;761273611.04;;1.61;;
2018-04-01;5.93;5.99;5.13;5.60;202000000.0;4250000000.0;763252784.4;;1.61;;
2018-04-02;5.61;5.89;5.49;5.80;137000000.0;4360000000.0;765408484.3;;1.61;;
2018-04-03;5.81;6.14;5.73;6.03;88020000.0;4540000000.0;767356902.35;;1.62;;
2018-04-04;6.03;6.06;5.49;5.65;83070000.0;4420000000.0;769579712.37;;1.62;;
2018-04-05;5.64;6.41;5.40;6.32;236000000.0;4560000000.0;772327122.61;;1.68;;
2018-04-06;6.32;6.36;5.67;5.83;139000000.0;4590000000.0;773555377.44;;1.66;;
2018-04-07;5.82;6.00;5.79;5.88;73140000.0;4570000000.0;775436332.21;;1.63;;
2018-04-08;5.88;6.01;5.82;5.96;148000000.0;4600000000.0;777678162.4;;1.62;;
2018-04-09;5.96;6.07;5.75;5.84;231000000.0;4610000000.0;780668935.3;;1.62;;
2018-04-10;5.85;6.07;5.75;5.98;81420000.0;4630000000.0;782676776.04;;1.61;;
2018-04-11;5.98;8.88;5.96;8.52;499000000.0;5800000000.0;784692011.5;;2.14;;
2018-04-12;8.52;9.29;7.82;8.83;892000000.0;6850000000.0;786652503.56;;2.12;;
2018-04-13;8.83;9.55;8.61;8.82;308000000.0;7180000000.0;788694821.4;;2.12;;
2018-04-14;8.82;9.09;8.11;8.72;218000000.0;6810000000.0;790861841.65;;2.09;;
2018-04-15;8.72;8.82;7.81;8.52;232000000.0;6640000000.0;792808925.52;;2.09;;
2018-04-16;8.52;8.52;7.82;8.12;164000000.0;6440000000.0;794946858.6;;2.1;;
2018-04-17;8.11;9.07;8.08;8.49;240000000.0;6940000000.0;798408944.82;;2.07;;
2018-04-18;8.48;9.23;8.45;9.04;283000000.0;7070000000.0;800330940.81;;2.07;;
2018-04-19;9.04;9.46;8.91;9.45;182000000.0;7370000000.0;801988618.04;;1.76;;
2018-04-20;9.46;11.68;9.45;11.46;864000000.0;8480000000.0;804385720.05;;1.88;;
2018-04-21;11.47;11.63;10.22;11.12;613000000.0;8810000000.0;806538431.04;;1.82;;
2018-04-22;11.12;11.86;10.75;11.30;306000000.0;9280000000.0;808780031.05;;1.82;;
2018-04-23;11.30;11.91;11.24;11.61;246000000.0;9380000000.0;810531304.69;;1.82;;
2018-04-24;11.60;16.10;11.60;15.09;1740000000.0;11410000000.0;812839224.08;;2.03;;
2018-04-25;15.10;15.51;13.35;14.44;939000000.0;11780000000.0;814782209.69;;2.04;;
2018-04-26;14.35;15.56;13.87;15.44;478000000.0;12020000000.0;816872160.46;;1.99;;
2018-04-27;15.44;17.91;14.82;16.60;752000000.0;13380000000.0;818907502.6;;1.99;;
2018-04-28;16.60;19.50;16.46;18.77;885000000.0;15150000000.0;820923137.67;;2.01;;
2018-04-29;18.77;23.06;18.74;21.42;1350000000.0;17059999999.999998;822723608.04;;2.01;;
2018-04-30;21.43;21.62;16.55;17.46;1230000000.0;15220000000.0;824851747.14;;2.16;;
