Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2018-03-05;864.99;869.73;844.55;846.16;488000000.0;83480000000.0;96823212.38;17300000.0;358287;975;1.2;11764402;1500000000.0;752756;855.575
2018-03-06;845.07;851.11;803.34;814.2;1080000000.0;80460000000.0;96843658.41;16610000.0;364952;935;1.19;11805652;1720000000.0;712591;829.635
2018-03-07;814.66;824.92;724.06;750.55;843000000.0;74560000000.0;96864275.35;15500000.0;467576;875;1.11;11847848;1650000000.0;783757;782.605
2018-03-08;749.76;772.1;688.08;697.88;692000000.0;71170000000.0;96884574.94;14200000.0;347207;813;0.99;11883498;1320000000.0;690139;723.8199999999999
2018-03-09;699.03;729.52;640.6;725.64;1550000000.0;66110000000.0;96904950;14780000.0;335308;850;0.9;11921292;1480000000.0;650058;712.335
2018-03-10;726.13;747.35;677.05;681.44;511000000.0;70110000000.0;96925411.03;14010000.0;318074;804;0.91;11966123;839000000.0;591377;703.7850000000001
2018-03-11;681.2;735.11;660.92;720.72;928000000.0;67950000000.0;96945943.6;14740000.0;288838;843;0.88;11997407;849000000.0;608899;700.96
2018-03-12;720.89;740.21;676.36;696.92;537000000.0;69070000000.0;96966304.03;14190000.0;322689;804;0.84;12036941;1140000000.0;677908;708.905
2018-03-13;695.81;714.97;678.88;689.05;468000000.0;67360000000.0;96986685.66;14060000.0;333398;803;0.84;12087279;2000000000.0;699093;692.43
2018-03-14;690.8;703.42;585.47;611.78;691000000.0;62690000000.0;97007095.69;12500000.0;359709;703;0.91;12131276;1330000000.0;671198;651.29
2018-03-15;611.94;620.17;570.54;609.97;664000000.0;58130000000.0;97027591.5;12530000.0;339262;702;0.87;12175154;1270000000.0;654531;610.955
2018-03-16;610.59;625.91;583.78;599.39;472000000.0;59060000000.0;97048124.91;12410000.0;31339;693;0.87;12221785;957000000.0;654584;604.99
2018-03-17;599.18;610.15;542.43;549.09;852000000.0;56100000000.0;97068538.78;11250000.0;27955;644;0.82;12256246;737000000.0;593203;574.135
2018-03-18;548.95;560.8;453.29;537.52;1370000000.0;48780000000.0;97088871.85;10940000.0;31855;639;0.82;12307052;1780000000.0;684094;543.235
2018-03-19;538.6;558.71;515.39;555.5;841000000.0;52430000000.0;97109181.75;11170000.0;356019;642;0.83;12346946;1420000000.0;703891;547.05
2018-03-20;554.95;567.07;516.48;557.52;662000000.0;52890000000.0;97129592.07;11340000.0;329322;646;0.81;12383364;1180000000.0;661791;556.235
2018-03-21;557.75;589.98;545.07;559.58;610000000.0;55310000000.0;97149884.35;11310000.0;352609;647;0.8;12423568;1090000000.0;697872;558.665
2018-03-22;559.7;577.67;516.57;539.58;509000000.0;52900000000.0;97170371.63;11040000.0;34578;635;0.79;12458890;925000000.0;619453;549.6400000000001
2018-03-23;539.01;544.4;506.78;543.88;500000000.0;50680000000.0;97190605.32;10880000.0;401205;626;0.78;12466797;1220000000.0;677103;541.4449999999999
2018-03-24;543.92;546.32;518.74;519.54;340000000.0;52080000000.0;97211130;10780000.0;354616;609;0.77;12436312;683000000.0;613203;531.73
2018-03-25;519.46;535.76;512.3;522.76;283000000.0;50710000000.0;97231460.07;10620000.0;266883;605;0.77;12459904;555000000.0;526372;521.11
2018-03-26;522.93;526.07;467.14;485.99;592000000.0;47900000000.0;97251892.6;10010000.0;318207;522;0.75;12493956;1070000000.0000001;626615;504.46
2018-03-27;485.81;491.63;446.05;448.3;643000000.0;44900000000.0;97272160.5;9130000.0;292427;480;0.77;12520671;1550000000.0;584055;467.055
2018-03-28;448.43;465.09;440.46;445.64;405000000.0;43860000000.0;97292513.82;9070000.0;272121;480;0.77;12543646;1280000000.0;579858;447.03499999999997
2018-03-29;445.63;448.64;379.48;383.28;905000000.0;39670000000.0;97312915.88;7860000.0;293419;425;0.85;12570646;1170000000.0;583673;414.455
2018-03-30;382.95;411.07;364.15;393.3;1510000000.0;37360000000.0;97333409.25;8039999.999999999;316912;429;0.86;12599365;1070000000.0000001;633616;388.125
2018-03-31;393.21;420.25;389.79;393.72;486000000.0;39190000000.0;97353870.1;8070000.0;273912;428;0.86;12621793;661000000.0;584396;393.46500000000003
2018-04-01;394.22;399.28;358.55;378.62;805000000.0;36710000000.0;97374075.1;7640000.0;273312;413;0.85;12643895;519000000.0;545141;386.42
2018-04-02;378.64;394.21;375.42;384.59;576000000.0;37520000000.0;97394540.35;7850000.0;306197;415;0.86;12670267;596000000.0;598505;381.615
2018-04-03;384.65;420.38;380.52;415.62;452000000.0;39100000000.0;97414929.94;8470000.0;327729;455;0.93;12702625;765000000.0;645977;400.135
2018-04-04;415.4;416.43;369.62;378.15;459000000.0;37860000000.0;97435229.63;7680000.0;330922;412;0.95;12740228;743000000.0;628441;396.775
2018-04-05;377.83;387.26;366.39;381.07;631000000.0;36800000000.0;97455829.03;7880000.0;372734;413;0.95;12796753;548000000.0;695871;379.45
2018-04-06;381.4;385.47;362.99;369.72;278000000.0;36160000000.0;97476262.03;7560000.0;350661;397;0.95;12839515;556000000.0;647981;375.56
2018-04-07;369.76;395.05;368.97;384.64;245000000.0;37440000000.0;97496515.03;7790000.0;293326;411;0.96;12879594;368000000.0;535865;377.2
2018-04-08;384.56;403.71;384.34;400.35;815000000.0;38590000000.0;97516873.13;8130000.000000001;309376;428;0.96;12939373;529000000.0;595733;392.45500000000004
2018-04-09;400.38;431.23;387.5;398.69;1950000000.0;39640000000.0;97537170;8039999.999999999;319374;427;0.95;12982714;889000000.0;609799;399.53499999999997
2018-04-10;398.76;418.2;391.47;415.26;301000000.0;39280000000.0;97557702.47;8490000.0;339055;453;0.95;13018709;580000000.0;571388;407.01
2018-04-11;415.33;432.95;410.77;429.81;380000000.0;40960000000.0;97577941.5;8700000.0;371762;468;0.94;13051081;756000000.0;609102;422.57
2018-04-12;429.8;498.32;413.54;493.97;1620000000.0;44530000000.0;97598140.22;9970000.0;353014;533;1.09;13093099;1250000000.0;692606;461.885
2018-04-13;494.15;529.09;481.89;495.17;958000000.0;49440000000.0;97618773.38;10240000.0;374208;539;1.09;13139249;1250000000.0;730344;494.65999999999997
2018-04-14;495.4;514.59;487.26;502.74;419000000.0;48930000000.0;97639159.78;10260000.0;301862;605;1.03;13175098;537000000.0;611188;499.07
2018-04-15;502.55;534.27;502.51;533.86;487000000.0;50710000000.0;97659556.6;10840000.0;302284;625;1.05;13220175;686000000.0;619985;518.205
2018-04-16;534.08;537.52;498.75;511.29;507000000.0;50040000000.0;97680141.94;10520000.0;334786;610;1.06;13252066;803000000.0;664402;522.6850000000001
2018-04-17;511.27;521.09;500.22;502.78;433000000.0;49880000000.0;97700528.07;10240000.0;339274;603;1.02;13308523;828000000.0;742823;507.025
2018-04-18;502.4;526.71;501.36;525.78;689000000.0;50300000000.0;97720779.57;10630000.0;339669;620;1.03;13357596;1040000000.0;703293;514.0899999999999
2018-04-19;525.92;570.32;521.67;567.38;582000000.0;53200000000.0;97741438.22;11700000.0;360686;654;1.06;13421164;1130000000.0;814318;546.65
2018-04-20;567.61;622.33;557.67;617.25;1540000000.0;57340000000.0;97761790.97;12540000.0;36941;702;1.1;13483208;1540000000.0;83222;592.4300000000001
2018-04-21;617.12;625.64;575.34;605.25;1170000000.0;58910000000.0;97782330.57;12430000.0;411088;693;1.1;13563503;1120000000.0;746104;611.185
2018-04-22;605.26;643.65;591.12;621.04;618000000.0;61060000000.0;97802781.19;12700000.0;414637;715;1.09;13629424;868000000.0;748858;613.15
2018-04-23;620.99;648.58;619.01;644.38;546000000.0;62540000000.0;97823900;13160000.0;428031;737;1.1;13679463;2590000000.0;80287;632.685
2018-04-24;644.06;712.0;643.85;703.28;1940000000.0;67510000000.00001;97844270.75;14360000.0;417221;807;1.12;13740982;2240000000.0;816357;673.67
2018-04-25;703.47;704.18;593.3;617.54;1680000000.0;62770000000.0;97864857.13;12650000.0;365985;703;1.21;13789790;1720000000.0;799014;660.505
2018-04-26;615.64;665.86;600.0;661.61;835000000.0;61630000000.0;97885659.78;13770000.0;358539;756;1.2;13837206;1490000000.0;793873;638.625
2018-04-27;662.14;686.08;640.19;643.25;719000000.0;65180000000.00001;97906029.69;13220000.0;346176;735;1.16;13882681;1520000000.0;764479;652.6949999999999
2018-04-28;642.98;693.98;639.49;683.05;575000000.0;66349999999.99999;97926297.69;13830000.0;341856;793;1.17;13925206;1320000000.0;775321;663.015
2018-04-29;683.04;699.06;665.72;689.07;555000000.0;66980000000.00001;97947028.44;14270000.0;318879;793;1.04;13964091;1260000000.0;756651;686.0550000000001
2018-04-30;689.49;693.79;662.88;670.18;612000000.0;66780000000.0;97967576.28;13710000.0;361168;774;1.05;14005322;1450000000.0;778133;679.835
2018-05-01;670.41;674.58;627.93;671.14;739000000.0;64129999999.99999;97988025.5;13730000.0;32866;779;1.05;14050320;1390000000.0;713839;670.775
2018-05-02;671.19;691.2;662.62;686.81;607000000.0;66519999999.99999;98008891.53;14330000.0;363346;788;1.03;14093203;1960000000.0;787722;679.0
2018-05-03;687.35;788.61;685.15;778.01;1410000000.0;72340000000.0;98029507.63;16050000.0;394992;882;1.1;14145921;2370000000.0;839586;732.6800000000001
2018-05-04;777.68;806.49;759.27;784.03;1160000000.0;76840000000.0;98050100.19;16129999.999999998;644295;886;1.08;14190058;2200000000.0;1000526;780.855
2018-05-05;784.26;828.37;780.54;816.6;1590000000.0;79440000000.0;98070815.47;16810000.0;396427;905;1.01;14241802;1550000000.0;789261;800.4300000000001
2018-05-06;817.06;834.96;752.66;790.35;1000000000.0;77600000000.0;98091439.81;16190000.000000002;389642;886;1.03;14312613;1310000000.0;691273;803.7049999999999
2018-05-07;790.44;794.78;695.2;752.46;1650000000.0;72250000000.0;98112160.63;15500000.0;41946;850;1.04;14371915;3040000000.0;789863;771.45
2018-05-08;753.19;775.29;719.33;748.03;886000000.0;73390000000.0;98132536.81;15320000.0;4105;849;1.05;14436022;1770000000.0;820098;750.61
2018-05-09;747.88;759.68;709.62;751.42;1960000000.0;72400000000.0;98153066.19;15360000.0;390605;848;1.05;14511117;2000000000.0;831127;749.65
2018-05-10;751.5;767.52;722.41;723.26;2510000000.0;73800000000.0;98173529.09;14850000.0;390235;827;1.06;14573323;1710000000.0;854827;737.38
2018-05-11;723.57;736.09;664.67;677.81;2029999999.9999998;68260000000.00001;98194193;14040000.0;392464;783;1.1;14630952;1620000000.0;826099;700.69
2018-05-12;677.83;690.51;638.24;683.62;1880000000.0;65489999999.99999;98214803.94;14130000.0;383918;784;1.09;14695770;1200000000.0;788487;680.725
2018-05-13;684.15;740.32;669.17;729.59;1300000000.0;69680000000.0;98235246.5;14950000.0;359287;831;1.01;14759813;976000000.0;762439;706.87
2018-05-14;729.4;742.44;686.17;727.55;1010000000.0;70410000000.0;98255640.97;14810000.0;398274;829;1.01;14811720;1990000000.0;801788;728.4749999999999
2018-05-15;727.31;739.45;695.29;705.44;686000000.0;71040000000.0;98276206.34;14530000.0;400914;800;1.02;14867548;1520000000.0;77921;716.375
2018-05-16;705.22;710.93;675.6;706.9;891000000.0;68140000000.0;98296641.31;14410000.0;414046;801;1;14934255;1300000000.0;807257;706.06
2018-05-17;707.11;718.58;661.16;668.39;497000000.0;68470000000.0;98317290.97;13790000.0;412529;772;1.01;15010810;1320000000.0;835761;687.75
2018-05-18;668.24;694.61;657.22;693.53;1270000000.0;66580000000.0;98337986.56;14360000.0;419826;789;1.01;15091947;1270000000.0;831831;680.885
2018-05-19;693.95;716.99;682.35;696.26;985000000.0;68599999999.99999;98358695.94;14370000.0;42416;786;1;15180003;901000000.0;846288;695.105
2018-05-20;695.49;723.54;687.67;715.1;364000000.0;69980000000.0;98379353.75;14740000.0;38919;810;0.98;15240984;980000000.0;777283;705.2950000000001
2018-05-21;715.22;719.63;687.43;697.14;364000000.0;69400000000.0;98400062.66;14450000.0;397743;792;0.94;15305434;1260000000.0;802211;706.1800000000001
2018-05-22;697.15;699.06;638.26;640.85;551000000.0;66379999999.99999;98420590.34;13210000.0;422824;735;0.98;15351669;1660000000.0;822409;669.0
2018-05-23;640.91;649.8;563.82;577.17;983000000.0;59650000000.0;98441479.52;12080000.0;410012;662;1.04;15417391;1700000000.0;833377;609.04
2018-05-24;577.34;609.59;544.81;602.15;763000000.0;57350000000.0;98461829.93;12220000.0;418876;684;1.04;15471714;1750000000.0;811167;589.745
2018-05-25;602.2;616.22;568.86;585.03;522000000.0;58490000000.0;98482476.4;11950000.0;394287;664;1;15531114;1130000000.0;800838;593.615
2018-05-26;584.96;607.89;578.52;585.61;311000000.0;58570000000.0;98503189.43;12100000.0;375954;666;0.91;15581473;836000000.0;761932;585.2850000000001
2018-05-27;585.48;591.08;556.18;569.88;685000000.0;56460000000.0;98523612.12;11650000.0;403522;657;0.87;15652168;1430000000.0;776024;577.6800000000001
2018-05-28;569.81;575.33;506.25;511.84;681000000.0;52650000000.0;98544284.65;10620000.0;445032;604;0.93;15718676;1520000000.0;861002;540.8249999999999
2018-05-29;511.97;572.54;510.83;566.78;1520000000.0;53690000000.0;98564934.02;11640000.0;409323;649;0.98;15783399;1630000000.0;812183;539.375
2018-05-30;566.79;585.37;541.52;557.17;477000000.0;55390000000.0;98585613.68;11510000.0;413796;643;0.98;15857443;1320000000.0;817167;561.98
2018-05-31;557.13;585.56;553.21;577.28;1130000000.0;56490000000.0;98606357.74;11940000.0;416236;654;0.99;15912574;1430000000.0;832842;567.2049999999999
2018-06-01;577.65;589.33;564.34;578.77;1780000000.0;56770000000.0;98626917.4;11900000.0;371923;656;0.99;15964885;1830000000.0;758242;578.21
2018-06-02;579.0;599.41;573.44;590.66;589000000.0;58100000000.0;98647629.4;12260000.0;404528;672;0.98;16016209;836000000.0;768017;584.8299999999999
2018-06-03;590.67;628.54;589.98;619.2;627000000.0;60530000000.0;98668114.05;12660000.0;415409;702;0.88;16086389;760000000.0;809997;604.935
2018-06-04;619.21;625.59;580.05;591.15;420000000.0;59200000000.0;98688919.24;12270000.0;397194;670;0.89;16146515;1290000000.0;807165;605.1800000000001
2018-06-05;591.3;613.21;575.98;608.36;409000000.0;58690000000.0;98709263.09;12350000.0;38035;692;0.88;16211427;1400000000.0;780654;599.8299999999999
2018-06-06;608.34;611.73;593.05;606.27;349000000.0;59610000000.0;98729888.93;12490000.0;374278;688;0.88;16279034;1440000000.0;75407;607.3050000000001
2018-06-07;606.25;616.37;598.17;604.58;348000000.0;60010000000.0;98751692.43;12530000.0;403581;679;0.87;16345252;1400000000.0;775828;605.415
2018-06-08;604.43;607.93;592.99;599.55;269000000.0;59300000000.0;98772383.99;12420000.0;364344;674;0.87;16392758;1510000000.0;720017;601.99
2018-06-09;599.62;609.64;591.35;593.19;201000000.0;59490000000.0;98793199.77;12410000.0;388714;672;0.87;16429883;765000000.0;769427;596.405
2018-06-10;592.52;592.73;501.94;524.62;635000000.0;54030000000.0;98813655.46;10660000.0;406267;605;0.94;16447158;1070000000.0000001;77128;558.5699999999999
2018-06-11;524.02;535.69;509.84;531.29;1560000000.0;51830000000.0;98835470.12;11020000.0;403546;612;0.92;16465831;1260000000.0;768985;527.655
2018-06-12;531.08;539.54;484.37;494.47;1280000000.0;50870000000.0;98856061.37;10090000.0;355775;529;0.94;16511949;1330000000.0;770199;512.7750000000001
2018-06-13;493.22;501.44;449.63;476.13;1110000000.0;47040000000.0;98876592.52;9740000.0;385073;516;0.91;16579373;1300000000.0;797637;484.675
2018-06-14;476.1;526.79;459.9;519.75;775000000.0;49090000000.0;98897085.34;10610000.0;372165;603;0.98;16635135;1550000000.0;765916;497.925
2018-06-15;519.76;521.06;482.77;487.46;474000000.0;49500000000.0;98917612.65;9990000.0;385201;526;0.99;16668965;1370000000.0;763803;503.61
2018-06-16;487.43;503.25;483.77;497.07;281000000.0;48980000000.0;98938190.02;10230000.0;310364;535;0.99;16709181;663000000.0;639775;492.25
2018-06-17;496.82;507.48;493.62;496.63;365000000.0;49530000000.0;98958612.43;10130000.0;321511;535;0.98;16754271;626000000.0;648548;496.725
2018-06-18;496.78;525.28;487.68;517.74;816000000.0;49900000000.0;98979230.3;10660000.0;344436;605;0.99;16810642;909000000.0;695753;507.26
2018-06-19;517.76;548.13;514.98;537.99;399000000.0;52500000000.0;98999706.24;11000000.0;375907;626;1;16845662;1090000000.0;778765;527.875
2018-06-20;537.76;542.03;516.78;536.2;338000000.0;52340000000.0;99020295.8;11020000.0;388423;631;0.99;16890011;1200000000.0;803076;536.98
2018-06-21;536.17;544.51;521.86;526.03;281000000.0;52820000000.0;99040753.55;10750000.0;384776;615;0.99;16941545;1050000000.0;752035;531.0999999999999
2018-06-22;526.04;526.17;449.87;462.02;650000000.0;47850000000.0;99061401.8;9560000.0;38391;511;1.03;16971921;1220000000.0;770457;494.03
2018-06-23;462.17;481.16;456.22;474.04;243000000.0;46560000000.0;99082050.99;9810000.0;34025;518;0.99;17025258;653000000.0;675918;468.105
2018-06-24;474.26;476.43;420.78;455.21;889000000.0;44240000000.0;99103407.77;9250000.0;359869;502;0.98;17070652;992000000.0;671994;464.735
