"Date","Real","Pred"
2018-03-05,855.575,NA
2018-03-06,829.635,NA
2018-03-07,782.605,NA
2018-03-08,723.82,NA
2018-03-09,712.335,NA
2018-03-10,703.785,NA
2018-03-11,700.96,NA
2018-03-12,708.905,NA
2018-03-13,692.43,NA
2018-03-14,651.29,NA
2018-03-15,610.955,NA
2018-03-16,604.99,NA
2018-03-17,574.135,NA
2018-03-18,543.235,NA
2018-03-19,547.05,NA
2018-03-20,556.235,NA
2018-03-21,558.665,NA
2018-03-22,549.64,NA
2018-03-23,541.445,NA
2018-03-24,531.73,NA
2018-03-25,521.11,NA
2018-03-26,504.46,NA
2018-03-27,467.055,NA
2018-03-28,447.035,NA
2018-03-29,414.455,NA
2018-03-30,388.125,NA
2018-03-31,393.465,NA
2018-04-01,386.42,NA
2018-04-02,381.615,NA
2018-04-03,400.135,NA
2018-04-04,396.775,NA
2018-04-05,379.45,NA
2018-04-06,375.56,NA
2018-04-07,377.2,NA
2018-04-08,392.455,NA
2018-04-09,399.535,NA
2018-04-10,407.01,NA
2018-04-11,422.57,NA
2018-04-12,461.885,NA
2018-04-13,494.66,NA
2018-04-14,499.07,NA
2018-04-15,518.205,NA
2018-04-16,522.685,NA
2018-04-17,507.025,NA
2018-04-18,514.09,NA
2018-04-19,546.65,NA
2018-04-20,592.43,NA
2018-04-21,611.185,NA
2018-04-22,613.15,NA
2018-04-23,632.685,NA
2018-04-24,673.67,NA
2018-04-25,660.505,NA
2018-04-26,638.625,NA
2018-04-27,652.695,NA
2018-04-28,663.015,NA
2018-04-29,686.055,NA
2018-04-30,679.835,NA
2018-05-01,670.775,NA
2018-05-02,679,NA
2018-05-03,732.68,NA
2018-05-04,780.855,NA
2018-05-05,800.43,NA
2018-05-06,803.705,NA
2018-05-07,771.45,NA
2018-05-08,750.61,NA
2018-05-09,749.65,NA
2018-05-10,737.38,NA
2018-05-11,700.69,NA
2018-05-12,680.725,NA
2018-05-13,706.87,NA
2018-05-14,728.475,NA
2018-05-15,716.375,NA
2018-05-16,706.06,NA
2018-05-17,687.75,NA
2018-05-18,680.885,NA
2018-05-19,695.105,NA
2018-05-20,705.295,NA
2018-05-21,706.18,NA
2018-05-22,669,NA
2018-05-23,609.04,NA
2018-05-24,589.745,NA
2018-05-25,593.615,NA
2018-05-26,585.285,NA
2018-05-27,577.68,NA
2018-05-28,540.825,NA
2018-05-29,539.375,NA
2018-05-30,561.98,NA
2018-05-31,567.205,NA
2018-06-01,578.21,NA
2018-06-02,584.83,NA
2018-06-03,604.935,NA
2018-06-04,605.18,NA
2018-06-05,599.83,NA
2018-06-06,607.305,NA
2018-06-07,605.415,NA
2018-06-08,601.99,NA
2018-06-09,596.405,NA
2018-06-10,558.57,NA
2018-06-11,527.655,NA
2018-06-12,512.775,NA
2018-06-13,484.675,NA
2018-06-14,497.925,NA
2018-06-15,503.61,NA
2018-06-16,492.25,NA
2018-06-17,496.725,NA
2018-06-18,507.26,NA
2018-06-19,527.875,NA
2018-06-20,536.98,NA
2018-06-21,531.1,NA
2018-06-22,494.03,NA
2018-06-23,468.105,NA
2018-06-24,464.735,NA
2018-06-25,456.16,NA
2018-06-26,444.235,NA
2018-06-27,435.505,NA
2018-06-28,430.78,NA
2018-06-29,427.695,NA
2018-06-30,444.495,NA
2018-07-01,452.625,NA
2018-07-02,464.115,NA
2018-07-03,468.965,NA
2018-07-04,464.47,NA
2018-07-05,467.355,NA
2018-07-06,468.655,NA
2018-07-07,477.97,NA
2018-07-08,486.105,NA
2018-07-09,478.87,NA
2018-07-10,452.04,NA
2018-07-11,438.925,NA
2018-07-12,438.125,NA
2018-07-13,431.6,NA
2018-07-14,432.84,NA
2018-07-15,441.415,NA
2018-07-16,464.13,NA
2018-07-17,488.62,NA
2018-07-18,488.965,NA
2018-07-19,473.635,NA
2018-07-20,458.66,NA
2018-07-21,454.85,NA
2018-07-22,459.085,NA
2018-07-23,453.425,NA
2018-07-24,464.26,NA
2018-07-25,475.13,NA
2018-07-26,466.755,NA
2018-07-27,465.91,NA
2018-07-28,469.35,NA
2018-07-29,467.62,NA
2018-07-30,461.38,NA
2018-07-31,443.99,NA
2018-08-01,425.915,NA
2018-08-02,415.42,NA
2018-08-03,414.2,NA
2018-08-04,412.395,NA
2018-08-05,407.93,NA
2018-08-06,406.84,NA
2018-08-07,391.48,NA
2018-08-08,366.695,NA
2018-08-09,359.52,NA
2018-08-10,347.62,NA
2018-08-11,324.84,NA
2018-08-12,318.115,NA
2018-08-13,300.975,NA
2018-08-14,281.22,NA
2018-08-15,279.93,NA
2018-08-16,284.115,NA
2018-08-17,302.205,NA
2018-08-18,306.125,NA
2018-08-19,297.265,NA
2018-08-20,285.115,NA
2018-08-21,275.85,NA
2018-08-22,275.72,NA
2018-08-23,273.135,NA
2018-08-24,278.765,NA
2018-08-25,279.435,NA
2018-08-26,275.965,NA
2018-08-27,281.05,NA
2018-08-28,291.665,NA
2018-08-29,292.06,NA
2018-08-30,286.265,NA
2018-08-31,282.84,NA
2018-09-01,288.445,NA
2018-09-02,295.35,NA
2018-09-03,292.18,NA
2018-09-04,287.09,NA
2018-09-05,256.69,NA
2018-09-06,228.7,NA
2018-09-07,222.23,NA
2018-09-08,205.86,NA
2018-09-09,196.3,NA
2018-09-10,196.5,NA
2018-09-11,191.125,NA
2018-09-12,184.025,NA
2018-09-13,197.01,NA
2018-09-14,209.875,NA
2018-09-15,215.095,NA
2018-09-16,220.85,NA
2018-09-17,208.505,NA
2018-09-18,202.15,NA
2018-09-19,209.02,NA
2018-09-20,217.05,NA
2018-09-21,236.105,NA
2018-09-22,244.2,NA
2018-09-23,242.59,NA
2018-09-24,236.24,NA
2018-09-25,223.555,NA
2018-09-26,216.725,NA
2018-09-27,221.58,NA
2018-09-28,225.23,NA
2018-09-29,226.035,NA
2018-09-30,231.805,NA
2018-10-01,231.505,NA
2018-10-02,227.91,NA
2018-10-03,222.35,NA
2018-10-04,220.57,NA
2018-10-05,224.455,NA
2018-10-06,225.67,NA
2018-10-07,224.47,NA
2018-10-08,227.205,NA
2018-10-09,227.785,NA
2018-10-10,225.475,NA
2018-10-11,207.14,NA
2018-10-12,192.185,NA
2018-10-13,196.55,NA
2018-10-14,196.185,NA
2018-10-15,201.365,NA
2018-10-16,207.905,NA
2018-10-17,206.73,NA
2018-10-18,203.43,NA
2018-10-19,201.405,NA
2018-10-20,202.295,NA
2018-10-21,204.105,NA
2018-10-22,203.2,NA
2018-10-23,202.885,NA
2018-10-24,202.08,NA
2018-10-25,201.105,NA
2018-10-26,200.885,NA
2018-10-27,202.185,NA
2018-10-28,202.805,NA
2018-10-29,199.12,NA
2018-10-30,195.535,NA
2018-10-31,196.86,NA
2018-11-01,197.84,NA
2018-11-02,199.425,NA
2018-11-03,199.755,NA
2018-11-04,205.405,NA
2018-11-05,210.04,NA
2018-11-06,214.04,NA
2018-11-07,218.145,NA
2018-11-08,214.17,NA
2018-11-09,209.665,NA
2018-11-10,210.205,NA
2018-11-11,210.915,NA
2018-11-12,210.27,NA
2018-11-13,207.175,NA
2018-11-14,192.875,NA
2018-11-15,180.48,NA
2018-11-16,176.96,NA
2018-11-17,173.995,NA
2018-11-18,175.02,NA
2018-11-19,161.815,NA
2018-11-20,138.135,NA
2018-11-21,132.495,NA
2018-11-22,130.12,NA
2018-11-23,122.925,NA
2018-11-24,117.175,NA
2018-11-25,113.605,NA
2018-11-26,111.82,NA
2018-11-27,108.7,NA
2018-11-28,116.33,NA
2018-11-29,119.79,NA
2018-11-30,114.825,NA
2018-12-01,114.735,NA
2018-12-02,116.565,NA
2018-12-03,111.71,NA
2018-12-04,108.575,NA
2018-12-05,105.16,NA
2018-12-06,95.57,NA
2018-12-07,91.57,NA
2018-12-08,92.03,NA
2018-12-09,92.345,NA
2018-12-10,92.21,NA
2018-12-11,88.795,NA
2018-12-12,88.325,NA
2018-12-13,87.865,NA
2018-12-14,84.735,NA
2018-12-15,83.67,NA
2018-12-16,84.12,NA
2018-12-17,89.725,NA
2018-12-18,98.29,NA
2018-12-19,100.94,NA
2018-12-20,107.88,NA
2018-12-21,112.415,NA
2018-12-22,113.18,NA
2018-12-23,124.205,NA
2018-12-24,135.36,NA
2018-12-25,134.995,NA
2018-12-26,131.005,NA
2018-12-27,123.43,NA
2018-12-28,127.105,NA
2018-12-29,137.35,NA
2018-12-30,138.28,NA
2018-12-31,136.23,NA
2019-01-01,136.795,NA
2019-01-02,148.275,NA
2019-01-03,151.805,NA
2019-01-04,151.57,NA
2019-01-05,154.99,NA
2019-01-06,156.565,NA
2019-01-07,154.49,NA
2019-01-08,150.68,NA
2019-01-09,150.065,NA
2019-01-10,138.855,NA
2019-01-11,126.685,NA
2019-01-12,125.9,NA
2019-01-13,120.6,NA
2019-01-14,122.53,NA
2019-01-15,124.965,NA
2019-01-16,121.545,NA
2019-01-17,122.75,NA
2019-01-18,121.56,NA
2019-01-19,122.03,NA
2019-01-20,120.945,NA
2019-01-21,117.145,NA
2019-01-22,117.465,NA
2019-01-23,117.885,NA
2019-01-24,117.105,NA
2019-01-25,116.32,NA
2019-01-26,115.575,NA
2019-01-27,113.995,NA
2019-01-28,109.005,NA
2019-01-29,105.13,NA
2019-01-30,106.34,NA
2019-01-31,107.365,NA
2019-02-01,106.495,NA
2019-02-02,108.39,NA
2019-02-03,108.68,NA
2019-02-04,106.695,NA
2019-02-05,106.43,NA
2019-02-06,105.28,NA
2019-02-07,103.96,NA
2019-02-08,111.34,NA
2019-02-09,118.875,NA
2019-02-10,121.83,NA
2019-02-11,122.81,NA
2019-02-12,120.925,NA
2019-02-13,121.65,NA
2019-02-14,120.875,NA
2019-02-15,120.66,NA
2019-02-16,121.8,NA
2019-02-17,127.815,NA
2019-02-18,139.575,NA
2019-02-19,144.585,NA
2019-02-20,146.06,NA
2019-02-21,146.65,NA
2019-02-22,146.525,NA
2019-02-23,153.105,NA
2019-02-24,145.515,NA
2019-02-25,135.39,NA
2019-02-26,137.125,NA
2019-02-27,135.41,NA
2019-02-28,135.345,NA
2019-03-01,135.305,NA
2019-03-02,134.01,NA
2019-03-03,131.555,NA
2019-03-04,128.07,NA
2019-03-05,131.49,NA
2019-03-06,137.595,NA
2019-03-07,137.415,NA
2019-03-08,135.135,NA
2019-03-09,135.23,NA
2019-03-10,136.31,NA
2019-03-11,134.085,NA
2019-03-12,133,NA
2019-03-13,132.595,NA
2019-03-14,131.67,NA
2019-03-15,134.025,NA
2019-03-16,138.945,NA
2019-03-17,139.62,NA
2019-03-18,138.015,NA
2019-03-19,138.06,NA
2019-03-20,139.025,NA
2019-03-21,136.925,NA
2019-03-22,135.59,NA
2019-03-23,136.365,NA
2019-03-24,136.14,NA
2019-03-25,134.455,NA
2019-03-26,133.53,NA
2019-03-27,136.535,NA
2019-03-28,138.66,NA
