Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2018-03-05;0.595;0.624;0.573;0.582;2590000.0;207000000.0;349999999.18;177;8;1.81;20063;2480000.0;155;0.5885
2018-03-06;0.581;0.589;0.525;0.534;1530000.0;195000000.0;350000002.11;199;8;1.83;20096;2410000.0;181;0.5575
2018-03-07;0.533;0.574;0.447;0.519;3880000.0;183000000.0;350000000.9;247;8;1.74;20163;3830000.0;226;0.526
2018-03-08;0.517;0.528;0.456;0.484;1850000.0;173000000.0;349999996.78;330;8;1.6;20252;6740000.0;313;0.5005
2018-03-09;0.485;0.494;0.428;0.479;1760000.0;160000000.0;350000001.52;244;8;1.46;20305;1210000.0;238;0.482
2018-03-10;0.479;0.512;0.462;0.465;1070000.0;172000000.0;350000000.17;222;8;1.41;2037;950000.0;205;0.472
2018-03-11;0.464;0.52;0.446;0.515;920000.0;169000000.0;349999997.14;179;8;1.42;20434;310000.0;149;0.48950000000000005
2018-03-12;0.515;0.566;0.491;0.508;1920000.0;181000000.0;349999999.35;190;8;1.41;20511;640000.0;164;0.5115000000000001
2018-03-13;0.507;0.568;0.5;0.564;2910000.0;189000000.0;349999998.01;266;8;1.44;20518;940000.0;245;0.5355
2018-03-14;0.566;0.58;0.424;0.438;2690000.0;178000000.0;349999998.8;252;8;1.64;20539;1750000.0;241;0.502
2018-03-15;0.439;0.444;0.393;0.419;5810000.0;147000000.0;349999999.72;219;8;1.54;20567;970000.0;207;0.429
2018-03-16;0.419;0.444;0.414;0.421;7710000.0;150000000.0;349999998.69;184;8;1.42;20589;750000.0;156;0.42
2018-03-17;0.421;0.424;0.364;0.371;7260000.0;141000000.0;350000000.25;183;8;1.47;20606;720000.0;159;0.396
2018-03-18;0.37;0.388;0.268;0.371;6600000.0;116000000.0;349999997.58;239;8;1.47;20643;770000.0;198;0.3705
2018-03-19;0.375;0.389;0.348;0.387;6510000.0;130000000.0;350000003.27;184;8;1.38;2067;470000.0;156;0.381
2018-03-20;0.386;0.405;0.359;0.392;6140000.0;134000000.0;350000000.14;172;8;1.36;20719;590000.0;144;0.389
2018-03-21;0.393;0.465;0.389;0.444;10480000.0;148000000.0;350000003.55;254;8;1.38;20702;1370000.0;247;0.4185
2018-03-22;0.444;0.46;0.389;0.422;8460000.0;149000000.0;350000000.05;182;8;1.38;20736;1080000.0;170;0.433
2018-03-23;0.421;0.429;0.378;0.414;7150000.0;139000000.0;350000001.61;182;8;1.34;20767;690000.0;173;0.4175
2018-03-24;0.416;0.437;0.401;0.412;6780000.0;147000000.0;349999998.83;158;8;1.34;20801;690000.0;137;0.414
2018-03-25;0.411;0.48;0.393;0.406;6220000.0;142000000.0;350000002.36;146;8;1.32;20828;420000.0;148;0.4085
2018-03-26;0.407;0.414;0.345;0.369;6660000.0;134000000.0;350000000.44;179;8;1.25;20857;1490000.0;176;0.388
2018-03-27;0.37;0.373;0.335;0.342;5100000.0;123000000.0;350000001.65;167;8;1.27;20853;670000.0;143;0.356
2018-03-28;0.342;0.363;0.335;0.352;5780000.0;122000000.0;350000004;144;8;1.26;20867;400000.0;135;0.347
2018-03-29;0.352;0.355;0.274;0.279;6930000.0;110000000.0;349999995.2;180;8;1.4;20902;570000.0;186;0.3155
2018-03-30;0.279;0.308;0.267;0.287;5370000.0;99970000.0;350000000.96;170;8;1.4;20909;460000.0;155;0.28300000000000003
2018-03-31;0.287;0.299;0.273;0.279;5270000.0;101000000.0;350000002.43;119;8;1.39;20922;150000.0;107;0.28300000000000003
2018-04-01;0.28;0.307;0.243;0.262;5700000.0;92840000.0;350000006.17;165;8;1.4;2092;410000.0;162;0.271
2018-04-02;0.262;0.279;0.259;0.274;5550000.0;94590000.0;349999996.29;127;8;1.42;20938;520000.0;108;0.268
2018-04-03;0.274;0.3;0.268;0.295;6370000.0;101000000.0;349999996.4;124;8;1.45;20961;220000.0;115;0.2845
2018-04-04;0.294;0.304;0.269;0.289;7060000.0;100000000.0;349999996.89;114;8;1.45;20979;280000.0;117;0.2915
2018-04-05;0.289;0.311;0.272;0.286;7400000.0;99740000.0;350000003.39;163;8;1.45;21005;460000.0;162;0.2875
2018-04-06;0.286;0.291;0.267;0.275;5530000.0;97560000.0;349999995.67;122;8;1.44;21004;840000.0;116;0.28049999999999997
2018-04-07;0.275;0.306;0.275;0.305;6440000.0;102000000.0;349999995.38;151;8;1.5;21015;190000.0;140;0.29000000000000004
2018-04-08;0.304;0.331;0.299;0.328;7700000.0;110000000.0;350000000.98;176;8;1.52;2102;2480000.0;167;0.316
2018-04-09;0.329;0.341;0.298;0.315;7010000.0;112000000.0;350000000.26;163;8;1.52;21014;220000.0;151;0.322
