"Date","Real","Pred"
2018-03-05,0.5885,NA
2018-03-06,0.5575,NA
2018-03-07,0.526,NA
2018-03-08,0.5005,NA
2018-03-09,0.482,NA
2018-03-10,0.472,NA
2018-03-11,0.4895,NA
2018-03-12,0.5115,NA
2018-03-13,0.5355,NA
2018-03-14,0.502,NA
2018-03-15,0.429,NA
2018-03-16,0.42,NA
2018-03-17,0.396,NA
2018-03-18,0.3705,NA
2018-03-19,0.381,NA
2018-03-20,0.389,NA
2018-03-21,0.4185,NA
2018-03-22,0.433,NA
2018-03-23,0.4175,NA
2018-03-24,0.414,NA
2018-03-25,0.4085,NA
2018-03-26,0.388,NA
2018-03-27,0.356,NA
2018-03-28,0.347,NA
2018-03-29,0.3155,NA
2018-03-30,0.283,NA
2018-03-31,0.283,NA
2018-04-01,0.271,NA
2018-04-02,0.268,NA
2018-04-03,0.2845,NA
2018-04-04,0.2915,NA
2018-04-05,0.2875,NA
2018-04-06,0.2805,NA
2018-04-07,0.29,NA
2018-04-08,0.316,NA
2018-04-09,0.322,NA
2018-04-10,0.336,NA
2018-04-11,0.3575,NA
2018-04-12,0.372,NA
2018-04-13,0.383,NA
2018-04-14,0.3875,NA
2018-04-15,0.4095,NA
2018-04-16,0.4175,NA
2018-04-17,0.4135,NA
2018-04-18,0.432,NA
2018-04-19,0.465,NA
2018-04-20,0.4835,NA
2018-04-21,0.4875,NA
2018-04-22,0.4955,NA
2018-04-23,0.496,NA
2018-04-24,0.5115,NA
2018-04-25,0.4845,NA
2018-04-26,0.463,NA
2018-04-27,0.47,NA
2018-04-28,0.4665,NA
2018-04-29,0.5005,NA
2018-04-30,0.5315,NA
2018-05-01,0.5475,NA
2018-05-02,0.557,NA
2018-05-03,0.567,NA
2018-05-04,0.5745,NA
2018-05-05,0.576,NA
2018-05-06,0.556,NA
2018-05-07,0.557,NA
2018-05-08,0.5635,NA
2018-05-09,0.546,NA
2018-05-10,0.5345,NA
2018-05-11,0.496,NA
2018-05-12,0.465,NA
2018-05-13,0.484,NA
2018-05-14,0.509,NA
2018-05-15,0.51,NA
2018-05-16,0.491,NA
2018-05-17,0.4615,NA
2018-05-18,0.449,NA
2018-05-19,0.4555,NA
