Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2018-03-05;213.34;216.34;208.96;210.00;285000000.0;11780000000.0;55500193.02;3310000.0;119476;116;1.78;2557562;365000000.0;37049
2018-03-06;209.84;210.05;191.66;196.35;678000000.0;11230000000.0;55515818.19;3060000.0;128077;91;1.65;2565147;430000000.0;36978
2018-03-07;196.36;199.24;174.00;185.75;448000000.0;10430000000.0;55531293.42;2880000.0;129332;89;1.63;2575138;414000000.0;38579
2018-03-08;185.65;187.90;173.91;175.65;344000000.0;10080000000.0;55545868.61;2570000.0;24155;83;1.55;2465468;538000000.0;36911
2018-03-09;175.97;189.97;158.56;186.13;984000000.0;9640000000.0;55559668.82;2580000.0;127753;90;1.5;2477417;500000000.0;39656
2018-03-10;186.31;194.91;175.28;177.09;345000000.0;10360000000.0;55574643.9;2660000.0;111839;83;1.5;2484576;285000000.0;31052
2018-03-11;177.09;193.52;170.78;188.19;647000000.0;10190000000.0;55589118.99;2720000.0;105631;89;1.49;2493732;420000000.0;28628
2018-03-12;188.11;192.99;174.12;177.78;317000000.0;10270000000.0;55603719.04;2610000.0;112773;83;1.48;2499372;399000000.0;30174
2018-03-13;177.54;182.10;171.09;175.23;243000000.0;9800000000.0;55619494.17;2770000.0;11518;84;1.46;2504369;388000000.0;3127
2018-03-14;175.65;177.89;157.14;160.40;281000000.0;9290000000.0;55633269.28;2220000.0;108385;79;1.49;2511499;273000000.0;33541
2018-03-15;160.41;167.60;150.09;164.21;329000000.0;8920000000.0;55647294.36;2310000.0;122053;80;1.47;2519989;350000000.0;35324
2018-03-16;164.31;171.63;158.09;164.50;232000000.0;9180000000.0;55663019.44;2610000.0;107603;79;1.46;2525347;214000000.0;31683
2018-03-17;164.58;165.43;150.49;152.29;397000000.0;8810000000.0;55677544.5;2220000.0;105492;79;0.93;2531294;194000000.0;27711
2018-03-18;152.17;157.52;137.24;153.74;343000000.0;8140000000.000001;55691619.55;2160000.0;109095;79;0.91;2537954;291000000.0;33181
2018-03-19;154.19;163.99;151.14;161.39;266000000.0;8720000000.0;55706194.62;2330000.0;115554;79;0.92;2541654;298000000.0;3113
2018-03-20;161.08;173.62;155.63;168.84;246000000.0;9130000000.0;55720044.7;2330000.0;114491;82;0.94;2549624;279000000.0;32226
2018-03-21;169.26;175.34;165.54;168.59;230000000.0;9530000000.0;55734744.8;2470000.0;108214;82;0.92;2557436;305000000.0;30685
2018-03-22;168.65;172.24;160.12;163.72;205000000.0;9240000000.0;55750144.89;2520000.0;107785;79;0.91;2562024;177000000.0;26966
2018-03-23;163.59;169.08;156.65;168.95;167000000.0;8970000000.0;55765645.02;2580000.0;106609;79;0.91;2567705;198000000.0;27962
