Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2018-03-05;17.92;18.12;16.99;17.03;18540000.0;1790000000.0;102042551.75;2031;12;1.81;595427;13220000.0;2487
2018-03-06;16.99;17.08;15.42;15.76;32990000.000000004;1650000000.0;102042551.76;1884;11;1.83;595666;10960000.0;2125
2018-03-07;15.79;16.44;13.48;14.43;27500000.0;1540000000.0;102042551.75;1985;11;1.74;59592;10680000.0;2278
2018-03-08;14.37;15.25;13.12;13.58;21680000.0;1450000000.0;102042551.78;2363;11;1.59;59638;14050000.0;2905
2018-03-09;13.63;15.14;11.59;14.87;58850000.0;1330000000.0;102042551.73;2327;11;1.43;596709;20790000.0;2955
2018-03-10;14.88;15.37;13.09;13.32;25280000.0;1470000000.0;102042551.76;1896;11;1.47;597094;13620000.0;2223
2018-03-11;13.32;14.99;12.65;14.58;25160000.0;1420000000.0;102042551.79;1562;11;1.45;597432;11950000.0;1776
2018-03-12;14.61;14.81;13.24;13.69;13090000.0;1440000000.0;102042551.79;1568;11;1.45;597718;6630000.0;1644
2018-03-13;13.63;14.19;12.85;13.65;14550000.0;1380000000.0;102042551.79;1644;11;1.44;597767;13380000.0;1956
2018-03-14;13.75;13.77;11.20;11.63;15810000.0;1290000000.0;102042551.79;1631;9;1.52;597896;12400000.0;1927
2018-03-15;11.63;11.72;10.21;11.28;25130000.0;1120000000.0;102042551.8;2005;9;1.5;597954;19640000.0;2519
2018-03-16;11.31;11.90;10.71;11.15;13260000.0;1160000000.0;102042551.74;1346;9;1.5;598139;7830000.0;1652
2018-03-17;11.15;11.25;9.64;9.67;26260000.0;1070000000.0000001;102042551.72;1448;9;1.36;598257;11400000.0;175
2018-03-18;9.69;10.59;8.37;10.46;21430000.0;948000000.0;102042551.72;2263;9;1.38;598287;28540000.0;2626
