"Date","Real","Pred"
2018-03-05,17.475,NA
2018-03-06,16.375,NA
2018-03-07,15.11,NA
2018-03-08,13.975,NA
2018-03-09,14.25,NA
2018-03-10,14.1,NA
2018-03-11,13.95,NA
2018-03-12,14.15,NA
2018-03-13,13.64,NA
2018-03-14,12.69,NA
2018-03-15,11.455,NA
2018-03-16,11.23,NA
2018-03-17,10.41,NA
2018-03-18,10.075,NA
2018-03-19,11.02,NA
2018-03-20,11.775,NA
2018-03-21,11.955,NA
2018-03-22,11.65,NA
2018-03-23,11.505,NA
2018-03-24,11.305,NA
2018-03-25,10.94,NA
2018-03-26,10.555,NA
2018-03-27,9.965,NA
2018-03-28,9.68,NA
2018-03-29,9.04,NA
2018-03-30,8.325,NA
2018-03-31,8.225,NA
2018-04-01,8.15,NA
2018-04-02,8.41,NA
2018-04-03,9.095,NA
2018-04-04,8.825,NA
2018-04-05,8.505,NA
2018-04-06,9.055,NA
2018-04-07,9.31,NA
2018-04-08,9.455,NA
2018-04-09,9.32,NA
2018-04-10,9.16,NA
2018-04-11,9.515,NA
2018-04-12,10.955,NA
2018-04-13,12.41,NA
2018-04-14,13.29,NA
2018-04-15,14.025,NA
2018-04-16,14.825,NA
2018-04-17,14.845,NA
2018-04-18,14.66,NA
2018-04-19,15.385,NA
2018-04-20,15.98,NA
2018-04-21,15.79,NA
2018-04-22,15.25,NA
2018-04-23,15.485,NA
2018-04-24,16.92,NA
2018-04-25,16.815,NA
2018-04-26,16.9,NA
2018-04-27,17.745,NA
2018-04-28,17.715,NA
2018-04-29,18.155,NA
2018-04-30,17.61,NA
2018-05-01,17.02,NA
2018-05-02,17.155,NA
2018-05-03,17.835,NA
2018-05-04,18.09,NA
2018-05-05,17.61,NA
2018-05-06,17.18,NA
2018-05-07,16.81,NA
2018-05-08,16.33,NA
2018-05-09,16.045,NA
2018-05-10,15.695,NA
2018-05-11,14.305,NA
2018-05-12,13.51,NA
2018-05-13,13.99,NA
2018-05-14,14.23,NA
2018-05-15,13.865,NA
2018-05-16,13.33,NA
2018-05-17,12.73,NA
2018-05-18,12.42,NA
2018-05-19,12.525,NA
2018-05-20,12.765,NA
2018-05-21,12.805,NA
2018-05-22,12.005,NA
2018-05-23,11.015,NA
2018-05-24,10.88,NA
2018-05-25,10.94,NA
2018-05-26,10.73,NA
2018-05-27,10.575,NA
2018-05-28,10.005,NA
2018-05-29,10.065,NA
2018-05-30,10.415,NA
2018-05-31,10.43,NA
2018-06-01,10.675,NA
2018-06-02,11.175,NA
2018-06-03,11.66,NA
2018-06-04,11.425,NA
2018-06-05,11.19,NA
2018-06-06,11.19,NA
2018-06-07,11.255,NA
2018-06-08,11.26,NA
2018-06-09,10.91,NA
2018-06-10,10.095,NA
2018-06-11,9.71,NA
2018-06-12,9.49,NA
2018-06-13,8.905,NA
2018-06-14,9.105,NA
2018-06-15,9.165,NA
2018-06-16,9.005,NA
2018-06-17,9.075,NA
2018-06-18,9.23,NA
2018-06-19,9.315,NA
2018-06-20,9.15,NA
2018-06-21,9.01,NA
2018-06-22,8.57,NA
2018-06-23,8.215,NA
2018-06-24,8.01,NA
2018-06-25,7.81,NA
2018-06-26,7.55,NA
2018-06-27,7.255,NA
2018-06-28,7,NA
2018-06-29,6.97,NA
2018-06-30,7.405,NA
2018-07-01,7.78,NA
2018-07-02,8.17,NA
2018-07-03,8.145,NA
2018-07-04,8.015,NA
2018-07-05,8.115,NA
2018-07-06,8.095,NA
2018-07-07,8.05,NA
2018-07-08,7.935,NA
2018-07-09,7.52,NA
2018-07-10,7.015,NA
2018-07-11,6.835,NA
2018-07-12,6.795,NA
2018-07-13,6.705,NA
2018-07-14,6.685,NA
2018-07-15,6.75,NA
2018-07-16,7.145,NA
2018-07-17,7.66,NA
2018-07-18,7.895,NA
2018-07-19,7.735,NA
2018-07-20,7.155,NA
2018-07-21,6.865,NA
2018-07-22,7.08,NA
2018-07-23,6.985,NA
2018-07-24,6.98,NA
2018-07-25,7.145,NA
2018-07-26,6.98,NA
2018-07-27,6.92,NA
2018-07-28,6.98,NA
2018-07-29,6.885,NA
2018-07-30,6.755,NA
2018-07-31,6.405,NA
2018-08-01,6.025,NA
2018-08-02,5.72,NA
2018-08-03,5.485,NA
2018-08-04,5.405,NA
2018-08-05,5.405,NA
2018-08-06,5.33,NA
2018-08-07,5.005,NA
2018-08-08,4.62,NA
2018-08-09,4.62,NA
2018-08-10,4.56,NA
2018-08-11,4.23,NA
2018-08-12,4.08,NA
2018-08-13,3.825,NA
2018-08-14,3.59,NA
2018-08-15,3.57,NA
2018-08-16,3.625,NA
2018-08-17,4.07,NA
2018-08-18,4.25,NA
2018-08-19,4.115,NA
2018-08-20,3.9,NA
2018-08-21,3.735,NA
2018-08-22,3.665,NA
2018-08-23,3.585,NA
2018-08-24,3.75,NA
2018-08-25,3.815,NA
2018-08-26,3.825,NA
2018-08-27,3.995,NA
2018-08-28,4.315,NA
2018-08-29,4.405,NA
2018-08-30,4.29,NA
2018-08-31,4.225,NA
2018-09-01,4.36,NA
2018-09-02,4.435,NA
2018-09-03,4.38,NA
2018-09-04,4.61,NA
2018-09-05,4.275,NA
2018-09-06,3.84,NA
2018-09-07,3.81,NA
2018-09-08,3.54,NA
2018-09-09,3.4,NA
2018-09-10,3.435,NA
2018-09-11,3.32,NA
2018-09-12,3.22,NA
2018-09-13,3.335,NA
