Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Active Addresses Count;Transaction Volume;Transactions Count
2018-03-05;0.0477;0.0482;0.0462;0.0463;96830000.0;3100000000.0;65748189939.96;;1.97;;;
2018-03-06;0.0461;0.0481;0.0433;0.0439;114000000.0;2990000000.0;65748195787.78;;1.96;;;
2018-03-07;0.0438;0.0450;0.0344;0.0387;159000000.0;2690000000.0;65748187847.2;;1.92;;;
2018-03-08;0.0386;0.0397;0.0350;0.0363;120000000.0;2490000000.0;65748187543.96;;1.79;;;
2018-03-09;0.0364;0.0378;0.0302;0.0370;135000000.0;2240000000.0;65748192746.91;;1.68;;;
2018-03-10;0.0370;0.0383;0.0342;0.0347;101000000.0;2420000000.0;65748200056.16;;1.66;;;
2018-03-11;0.0347;0.0394;0.0333;0.0386;101000000.0;2390000000.0;65748186767.67;;1.62;;;
2018-03-12;0.0386;0.0396;0.0344;0.0361;95950000.0;2470000000.0;65748190442.97;;1.4;;;
2018-03-13;0.0360;0.0373;0.0344;0.0357;78190000.0;2350000000.0;65748189619.21;;1.4;;;
2018-03-14;0.0359;0.0365;0.0299;0.0310;77990000.0;2210000000.0;65748193909.14;;1.41;;;
2018-03-15;0.0309;0.0312;0.0282;0.0302;54360000.0;1960000000.0;65748198056.64;;1.37;;;
2018-03-16;0.0302;0.0315;0.0288;0.0300;45100000.0;1990000000.0;65748189709.97;;1.36;;;
2018-03-17;0.0300;0.0304;0.0279;0.0281;48700000.0;1940000000.0;65748198295.93;;1.35;;;
2018-03-18;0.0281;0.0305;0.0231;0.0290;64910000.0;1740000000.0;65748190383.49;;1.36;;;
2018-03-19;0.0293;0.0335;0.0284;0.0327;95080000.0;2040000000.0;65748201687.08;;1.34;;;
2018-03-20;0.0325;0.0411;0.0313;0.0385;159000000.0;2350000000.0;65748198519.52;;1.48;;;
2018-03-21;0.0382;0.0402;0.0360;0.0372;121000000.0;2530000000.0;65748190780.58;;1.44;;;
2018-03-22;0.0372;0.0393;0.0342;0.0382;89680000.0;2430000000.0;65748197789.11;;1.44;;;
2018-03-23;0.0382;0.0420;0.0349;0.0418;113000000.0;2480000000.0;65748196706.1;;1.44;;;
