"Date","Real","Pred"
2018-03-05,0.047,NA
2018-03-06,0.045,NA
2018-03-07,0.04125,NA
2018-03-08,0.03745,NA
2018-03-09,0.0367,NA
2018-03-10,0.03585,NA
2018-03-11,0.03665,NA
2018-03-12,0.03735,NA
2018-03-13,0.03585,NA
2018-03-14,0.03345,NA
2018-03-15,0.03055,NA
2018-03-16,0.0301,NA
2018-03-17,0.02905,NA
2018-03-18,0.02855,NA
2018-03-19,0.031,NA
2018-03-20,0.0355,NA
2018-03-21,0.0377,NA
2018-03-22,0.0377,NA
2018-03-23,0.04,NA
2018-03-24,0.04565,NA
2018-03-25,0.04725,NA
2018-03-26,0.0446,NA
2018-03-27,0.04345,NA
2018-03-28,0.04605,NA
2018-03-29,0.0459,NA
2018-03-30,0.042,NA
2018-03-31,0.0376,NA
2018-04-01,0.03315,NA
2018-04-02,0.034,NA
2018-04-03,0.0353,NA
2018-04-04,0.0323,NA
2018-04-05,0.0347,NA
2018-04-06,0.038,NA
2018-04-07,0.03665,NA
2018-04-08,0.0372,NA
2018-04-09,0.0366,NA
2018-04-10,0.03625,NA
2018-04-11,0.03645,NA
2018-04-12,0.03815,NA
2018-04-13,0.0396,NA
2018-04-14,0.03965,NA
2018-04-15,0.0418,NA
2018-04-16,0.04225,NA
2018-04-17,0.04155,NA
2018-04-18,0.0447,NA
2018-04-19,0.04815,NA
2018-04-20,0.05145,NA
2018-04-21,0.0536,NA
2018-04-22,0.05265,NA
2018-04-23,0.0553,NA
2018-04-24,0.06565,NA
2018-04-25,0.0712,NA
2018-04-26,0.0715,NA
2018-04-27,0.07365,NA
2018-04-28,0.0775,NA
2018-04-29,0.0849,NA
2018-04-30,0.0905,NA
2018-05-01,0.09265,NA
2018-05-02,0.0918,NA
2018-05-03,0.08875,NA
2018-05-04,0.08595,NA
2018-05-05,0.08615,NA
2018-05-06,0.08535,NA
2018-05-07,0.08335,NA
2018-05-08,0.08255,NA
2018-05-09,0.08135,NA
2018-05-10,0.07645,NA
2018-05-11,0.0687,NA
2018-05-12,0.06595,NA
2018-05-13,0.07035,NA
2018-05-14,0.07225,NA
2018-05-15,0.06905,NA
2018-05-16,0.06915,NA
2018-05-17,0.0687,NA
2018-05-18,0.0676,NA
2018-05-19,0.06885,NA
2018-05-20,0.07295,NA
2018-05-21,0.0789,NA
2018-05-22,0.07705,NA
2018-05-23,0.0705,NA
2018-05-24,0.0702,NA
2018-05-25,0.0714,NA
2018-05-26,0.0714,NA
2018-05-27,0.07125,NA
2018-05-28,0.06465,NA
2018-05-29,0.06185,NA
2018-05-30,0.0629,NA
2018-05-31,0.06085,NA
2018-06-01,0.059,NA
2018-06-02,0.0593,NA
2018-06-03,0.06105,NA
2018-06-04,0.0601,NA
2018-06-05,0.05935,NA
2018-06-06,0.05955,NA
2018-06-07,0.05875,NA
2018-06-08,0.0579,NA
2018-06-09,0.057,NA
2018-06-10,0.05185,NA
2018-06-11,0.04755,NA
2018-06-12,0.04565,NA
2018-06-13,0.0421,NA
2018-06-14,0.04295,NA
2018-06-15,0.0437,NA
2018-06-16,0.0426,NA
2018-06-17,0.0426,NA
2018-06-18,0.04365,NA
2018-06-19,0.0473,NA
2018-06-20,0.0495,NA
2018-06-21,0.0491,NA
2018-06-22,0.0457,NA
2018-06-23,0.04335,NA
2018-06-24,0.043,NA
2018-06-25,0.042,NA
2018-06-26,0.0398,NA
2018-06-27,0.03815,NA
2018-06-28,0.03745,NA
2018-06-29,0.03625,NA
2018-06-30,0.0371,NA
2018-07-01,0.03715,NA
2018-07-02,0.03825,NA
2018-07-03,0.0389,NA
2018-07-04,0.0385,NA
2018-07-05,0.0381,NA
2018-07-06,0.0366,NA
2018-07-07,0.0367,NA
2018-07-08,0.03715,NA
2018-07-09,0.0362,NA
2018-07-10,0.03435,NA
2018-07-11,0.03335,NA
2018-07-12,0.0329,NA
2018-07-13,0.0328,NA
2018-07-14,0.03325,NA
2018-07-15,0.03385,NA
2018-07-16,0.03595,NA
2018-07-17,0.03865,NA
2018-07-18,0.0397,NA
2018-07-19,0.0388,NA
2018-07-20,0.0364,NA
2018-07-21,0.0352,NA
2018-07-22,0.03535,NA
2018-07-23,0.03455,NA
2018-07-24,0.036,NA
2018-07-25,0.0375,NA
2018-07-26,0.0365,NA
2018-07-27,0.03625,NA
2018-07-28,0.0367,NA
2018-07-29,0.038,NA
2018-07-30,0.03775,NA
2018-07-31,0.0351,NA
2018-08-01,0.03315,NA
2018-08-02,0.0319,NA
2018-08-03,0.03085,NA
2018-08-04,0.0296,NA
2018-08-05,0.0295,NA
2018-08-06,0.0297,NA
2018-08-07,0.02835,NA
2018-08-08,0.02595,NA
2018-08-09,0.02495,NA
2018-08-10,0.0246,NA
2018-08-11,0.02295,NA
2018-08-12,0.02235,NA
2018-08-13,0.02075,NA
2018-08-14,0.01885,NA
2018-08-15,0.0189,NA
2018-08-16,0.01925,NA
2018-08-17,0.0213,NA
2018-08-18,0.02235,NA
2018-08-19,0.02175,NA
2018-08-20,0.02125,NA
2018-08-21,0.0206,NA
2018-08-22,0.0202,NA
2018-08-23,0.0201,NA
2018-08-24,0.0211,NA
2018-08-25,0.02195,NA
2018-08-26,0.02255,NA
2018-08-27,0.02365,NA
2018-08-28,0.0257,NA
2018-08-29,0.02615,NA
2018-08-30,0.02515,NA
2018-08-31,0.0251,NA
2018-09-01,0.026,NA
2018-09-02,0.0262,NA
2018-09-03,0.0254,NA
2018-09-04,0.0251,NA
2018-09-05,0.0234,NA
2018-09-06,0.02155,NA
2018-09-07,0.021,NA
2018-09-08,0.01975,NA
2018-09-09,0.01925,NA
2018-09-10,0.01925,NA
2018-09-11,0.0189,NA
2018-09-12,0.0183,NA
2018-09-13,0.019,NA
2018-09-14,0.01975,NA
2018-09-15,0.01975,NA
2018-09-16,0.0199,NA
2018-09-17,0.0192,NA
2018-09-18,0.0188,NA
2018-09-19,0.0195,NA
2018-09-20,0.0205,NA
2018-09-21,0.02315,NA
2018-09-22,0.02405,NA
2018-09-23,0.0235,NA
2018-09-24,0.0229,NA
2018-09-25,0.02165,NA
2018-09-26,0.0211,NA
2018-09-27,0.0217,NA
2018-09-28,0.0222,NA
2018-09-29,0.02195,NA
2018-09-30,0.0221,NA
2018-10-01,0.0221,NA
2018-10-02,0.022,NA
2018-10-03,0.0217,NA
2018-10-04,0.0221,NA
2018-10-05,0.023,NA
2018-10-06,0.0235,NA
2018-10-07,0.0253,NA
2018-10-08,0.02675,NA
2018-10-09,0.0262,NA
2018-10-10,0.02555,NA
2018-10-11,0.023,NA
2018-10-12,0.0216,NA
2018-10-13,0.0229,NA
2018-10-14,0.02345,NA
2018-10-15,0.02415,NA
2018-10-16,0.0244,NA
2018-10-17,0.0241,NA
2018-10-18,0.0241,NA
2018-10-19,0.02395,NA
2018-10-20,0.0239,NA
2018-10-21,0.02405,NA
2018-10-22,0.02385,NA
2018-10-23,0.02355,NA
2018-10-24,0.0233,NA
2018-10-25,0.02315,NA
2018-10-26,0.02325,NA
2018-10-27,0.02335,NA
2018-10-28,0.02325,NA
2018-10-29,0.02265,NA
2018-10-30,0.02205,NA
2018-10-31,0.02215,NA
2018-11-01,0.0223,NA
2018-11-02,0.0226,NA
2018-11-03,0.0227,NA
2018-11-04,0.0231,NA
2018-11-05,0.0236,NA
2018-11-06,0.0241,NA
