Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Transactions Count
2018-03-05;367.46;380.12;354.26;368.10;76220000.0;5810000000.0;15788753.37;1220000.0;1.68;567
2018-03-06;367.62;367.95;337.73;342.97;86030000.0;5580000000.0;15792036.11;1240000.0;1.69;5284
2018-03-07;343.20;361.72;316.01;336.72;96880000.0;5400000000.0;15795658.86;1320000.0;1.62;4737
2018-03-08;336.29;336.44;273.47;275.03;83340000.0;4770000000.0;15799584.07;980000.0;1.63;4464
2018-03-09;275.00;284.99;239.83;284.51;159000000.0;4139999999.9999995;15803154.36;1030000.0;1.54;4147
2018-03-10;284.96;293.63;251.82;253.81;41340000.0;4400000000.0;15806812.38;890000.0;1.59;344
2018-03-11;253.52;286.23;243.40;280.06;60050000.0;4200000000.0;15810313.95;970000.0;1.49;3152
2018-03-12;280.31;286.60;247.65;256.94;37080000.0;4240000000.0;15813800.68;950000.0;1.51;429
2018-03-13;256.57;265.69;243.96;246.32;36180000.0;3990000000.0;15817493.36;950000.0;1.51;4112
2018-03-14;247.42;251.23;204.61;213.73;45410000.0;3610000000.0;15821286.68;740000.0;1.56;4087
2018-03-15;213.73;224.64;195.67;212.05;44500000.0;3330000000.0;15824779.46;710000.0;1.54;3679
2018-03-16;212.16;221.84;202.00;214.08;31680000.0;3350000000.0;15828117.8;830000.0;1.52;3083
2018-03-17;214.21;215.99;191.60;196.00;46770000.0;3210000000.0;15831925.83;720000.0;1.42;2785
2018-03-18;195.84;209.27;173.29;208.68;40170000.0;2960000000.0;15835583.97;740000.0;1.41;33
2018-03-19;209.94;222.43;200.78;216.90;33229999.999999996;3360000000.0;15839147.36;730000.0;1.42;3604
2018-03-20;216.06;232.83;205.74;223.17;26770000.0;3470000000.0;15842576.79;840000.0;1.38;3727
2018-03-21;223.39;236.49;213.40;217.30;29290000.0;3560000000.0;15846363.77;790000.0;1.36;4273
2018-03-22;217.29;222.89;202.61;211.35;20260000.0;3370000000.0;15850006.4;750000.0;1.33;3554
2018-03-23;211.82;216.40;196.97;214.90;23750000.0;3270000000.0;15853530.26;720000.0;1.33;3312
2018-03-24;214.93;216.56;205.60;206.34;13290000.0;3380000000.0;15856950.6;760000.0;1.33;3013
2018-03-25;206.14;213.80;201.28;210.43;13900000.0;3290000000.0;15860573.72;750000.0;1.28;3009
2018-03-26;210.48;211.43;187.13;195.46;17980000.0;3120000000.0;15864147.4;680000.0;1.3;3456
2018-03-27;195.55;197.10;183.41;186.93;20960000.0;3010000000.0;15867603.01;670000.0;1.3;3429
2018-03-28;186.86;201.49;185.00;198.58;18610000.0;3080000000.0;15871147.26;700000.0;1.31;3806
2018-03-29;198.74;200.47;172.97;175.35;29420000.0;2950000000.0;15874725.82;620000.0;1.35;4072
2018-03-30;175.16;180.53;161.35;171.66;48710000.0;2700000000.0;15878220.98;550000.0;1.34;3596
2018-03-31;172.14;181.81;170.21;177.50;12850000.0;2810000000.0;15881442.5;650000.0;1.34;2648
2018-04-01;178.03;181.41;162.94;174.55;28270000.0;2750000000.0;15885094.84;660000.0;1.28;2689
2018-04-02;174.54;180.84;173.06;176.27;21760000.0;2810000000.0;15888854.19;570000.0;1.22;3081
2018-04-03;176.79;190.54;176.71;188.51;16399999.999999998;2940000000.0;15892052.59;680000.0;1.25;3833
2018-04-04;188.66;188.97;167.30;169.05;14410000.0;2810000000.0;15895655.66;610000.0;1.26;3553
2018-04-05;168.85;174.22;163.69;171.92;27070000.0;2700000000.0;15899263.52;610000.0;1.26;534
2018-04-06;172.18;175.20;160.69;161.43;15920000.0;2670000000.0;15902810.07;270000.0;1.26;2199
2018-04-07;161.52;173.46;161.32;169.54;8790000.0;2690000000.0;15904517.34;130000.0;1.28;1145
2018-04-08;169.29;174.41;167.96;174.02;26340000.0;2720000000.0;15905259.01;600000.0;1.16;2539
2018-04-09;173.71;179.15;162.19;166.29;37350000.0;2710000000.0;15908693.47;680000.0;1.15;3625
2018-04-10;166.58;167.12;162.91;165.07;10780000.0;2630000000.0;15912833.26;550000.0;1.1;4096
2018-04-11;165.05;169.37;163.87;168.71;17250000.0;2640000000.0;15916194.64;610000.0;1.03;5248
2018-04-12;168.77;194.36;165.61;192.54;52650000.0;2870000000.0;15919811.06;610000.0;1.13;5225
2018-04-13;192.77;201.60;186.11;189.17;26470000.0;3090000000.0;15923036.84;660000.0;1.12;4722
2018-04-14;189.03;198.04;187.54;190.46;12880000.0;3060000000.0;15926490.23;680000.0;1.03;4708
2018-04-15;190.12;204.75;190.12;201.74;19090000.0;3170000000.0;15930054.19;710000.0;1.05;4889
2018-04-16;201.38;203.82;188.99;193.84;18310000.0;3090000000.0;15933569.72;680000.0;1.05;5894
2018-04-17;194.03;202.40;192.91;194.95;20840000.0;3150000000.0;15937066.03;670000.0;1.01;5584
2018-04-18;194.91;233.27;194.77;229.09;141000000.0;3550000000.0;15940485.41;820000.0;1.15;695
2018-04-19;229.07;238.05;222.41;237.43;40950000.0;3700000000.0;15944077.18;750000.0;1.15;564
2018-04-20;237.42;272.98;237.42;271.90;94620000.0;4000000000.0;15947262.77;970000.0;1.24;5883
2018-04-21;272.00;272.45;238.39;255.87;66040000.00000001;4090000000.0;15950873.38;870000.0;1.26;5431
2018-04-22;255.76;283.46;247.73;268.85;59250000.0;4350000000.0;15952757.02;920000.0;1.26;613
2018-04-23;268.71;286.47;268.49;282.49;36950000.0;4470000000.0;15957679.72;950000.0;1.27;6744
2018-04-24;282.60;298.09;278.95;292.43;80300000.0;4660000000.0;15961047.74;1040000.0;1.26;6883
2018-04-25;292.72;292.82;247.00;255.90;68920000.0;4260000000.0;15964585.79;870000.0;1.34;6538
2018-04-26;255.30;276.67;247.49;267.25;49690000.0;4200000000.0;15967963.47;910000.0;1.32;6486
2018-04-27;267.33;268.44;249.31;250.24;37180000.0;4160000000.0;15971359.94;840000.0;1.33;6623
2018-04-28;250.07;265.33;249.33;261.14;31430000.0;4099999999.9999995;15974671.02;880000.0;1.32;6498
2018-04-29;260.85;263.44;242.37;255.29;36560000.0;4030000000.0000005;15978053.86;880000.0;1.25;6783
2018-04-30;255.52;258.42;236.68;241.35;42680000.0;3950000000.0;15981497.58;770000.0;1.27;6835
2018-05-01;241.41;241.71;227.57;239.20;28180000.0;3740000000.0;15984682.64;860000.0;1.27;7537
2018-05-02;239.17;253.15;237.95;248.90;34570000.0;3920000000.0;15988276.67;830000.0;1.27;6614
2018-05-03;249.24;257.79;241.58;245.66;54870000.0;3960000000.0;15991607.98;820000.0;1.27;8078
2018-05-04;245.15;249.22;237.87;241.69;34200000.0;3880000000.0;15994962.32;780000.0;1.26;589
2018-05-05;241.19;248.09;238.99;240.56;51030000.0;3910000000.0;15998172.48;820000.0;1.2;5871
2018-05-06;240.72;242.61;231.47;235.20;23340000.0;3780000000.0;16001592.68;760000.0;1.2;4936
