"Date","Real","Pred"
2018-03-05,367.78,NA
2018-03-06,355.295,NA
2018-03-07,339.96,NA
2018-03-08,305.66,NA
2018-03-09,279.755,NA
2018-03-10,269.385,NA
2018-03-11,266.79,NA
2018-03-12,268.625,NA
2018-03-13,251.445,NA
2018-03-14,230.575,NA
2018-03-15,212.89,NA
2018-03-16,213.12,NA
2018-03-17,205.105,NA
2018-03-18,202.26,NA
2018-03-19,213.42,NA
2018-03-20,219.615,NA
2018-03-21,220.345,NA
2018-03-22,214.32,NA
2018-03-23,213.36,NA
2018-03-24,210.635,NA
2018-03-25,208.285,NA
2018-03-26,202.97,NA
2018-03-27,191.24,NA
2018-03-28,192.72,NA
2018-03-29,187.045,NA
2018-03-30,173.41,NA
2018-03-31,174.82,NA
2018-04-01,176.29,NA
2018-04-02,175.405,NA
2018-04-03,182.65,NA
2018-04-04,178.855,NA
2018-04-05,170.385,NA
2018-04-06,166.805,NA
2018-04-07,165.53,NA
2018-04-08,171.655,NA
2018-04-09,170,NA
2018-04-10,165.825,NA
2018-04-11,166.88,NA
2018-04-12,180.655,NA
2018-04-13,190.97,NA
2018-04-14,189.745,NA
2018-04-15,195.93,NA
2018-04-16,197.61,NA
2018-04-17,194.49,NA
2018-04-18,212,NA
2018-04-19,233.25,NA
2018-04-20,254.66,NA
2018-04-21,263.935,NA
2018-04-22,262.305,NA
2018-04-23,275.6,NA
2018-04-24,287.515,NA
2018-04-25,274.31,NA
2018-04-26,261.275,NA
2018-04-27,258.785,NA
2018-04-28,255.605,NA
2018-04-29,258.07,NA
2018-04-30,248.435,NA
2018-05-01,240.305,NA
2018-05-02,244.035,NA
2018-05-03,247.45,NA
2018-05-04,243.42,NA
2018-05-05,240.875,NA
2018-05-06,237.96,NA
2018-05-07,234.11,NA
2018-05-08,227.98,NA
2018-05-09,225.04,NA
2018-05-10,221.67,NA
2018-05-11,206.875,NA
2018-05-12,199.46,NA
2018-05-13,204.745,NA
2018-05-14,210.15,NA
2018-05-15,208.045,NA
2018-05-16,201.005,NA
2018-05-17,194.865,NA
2018-05-18,197.21,NA
2018-05-19,200.57,NA
2018-05-20,200.365,NA
2018-05-21,200.83,NA
2018-05-22,186.575,NA
2018-05-23,172.855,NA
2018-05-24,171.305,NA
2018-05-25,168.08,NA
2018-05-26,164.425,NA
2018-05-27,165.22,NA
2018-05-28,157.53,NA
2018-05-29,153.33,NA
2018-05-30,155.855,NA
2018-05-31,154.885,NA
2018-06-01,156.275,NA
2018-06-02,160.02,NA
2018-06-03,165.5,NA
2018-06-04,164.355,NA
2018-06-05,163.45,NA
2018-06-06,165.825,NA
2018-06-07,164.15,NA
2018-06-08,160.9,NA
2018-06-09,156.435,NA
2018-06-10,146.635,NA
2018-06-11,138.475,NA
2018-06-12,131.425,NA
2018-06-13,123.075,NA
2018-06-14,127.065,NA
2018-06-15,127.355,NA
2018-06-16,124.025,NA
2018-06-17,124.63,NA
2018-06-18,124.92,NA
2018-06-19,126.42,NA
2018-06-20,124.205,NA
2018-06-21,122.91,NA
2018-06-22,116.695,NA
2018-06-23,112.515,NA
2018-06-24,117.97,NA
2018-06-25,123.745,NA
2018-06-26,123.41,NA
2018-06-27,124.385,NA
2018-06-28,122.675,NA
2018-06-29,121.66,NA
2018-06-30,128.6,NA
2018-07-01,130.205,NA
2018-07-02,135.18,NA
2018-07-03,139.32,NA
2018-07-04,138.555,NA
2018-07-05,138.185,NA
2018-07-06,135.24,NA
2018-07-07,133.67,NA
2018-07-08,135.805,NA
2018-07-09,136.28,NA
2018-07-10,127.895,NA
2018-07-11,122.77,NA
2018-07-12,122.69,NA
2018-07-13,121.24,NA
2018-07-14,122.33,NA
2018-07-15,123.3,NA
2018-07-16,129.59,NA
2018-07-17,139.36,NA
2018-07-18,141.63,NA
2018-07-19,139.315,NA
2018-07-20,134.44,NA
2018-07-21,130.89,NA
2018-07-22,130.03,NA
2018-07-23,130.63,NA
2018-07-24,140.51,NA
2018-07-25,145.1,NA
2018-07-26,139.78,NA
2018-07-27,138.26,NA
2018-07-28,139.845,NA
2018-07-29,137.615,NA
2018-07-30,133.415,NA
2018-07-31,126.73,NA
2018-08-01,125.075,NA
2018-08-02,125.11,NA
2018-08-03,121.09,NA
2018-08-04,117.075,NA
2018-08-05,115.61,NA
2018-08-06,115.06,NA
2018-08-07,110.435,NA
2018-08-08,101.14,NA
2018-08-09,97.31,NA
2018-08-10,95.925,NA
2018-08-11,92.19,NA
2018-08-12,92.97,NA
2018-08-13,90.275,NA
2018-08-14,85.765,NA
2018-08-15,86.63,NA
2018-08-16,89.895,NA
2018-08-17,95.18,NA
2018-08-18,98.625,NA
2018-08-19,98.095,NA
2018-08-20,95.57,NA
2018-08-21,93.54,NA
2018-08-22,92.16,NA
2018-08-23,89.755,NA
2018-08-24,91.75,NA
2018-08-25,93.055,NA
2018-08-26,93.555,NA
2018-08-27,99.745,NA
2018-08-28,106.045,NA
2018-08-29,105.365,NA
2018-08-30,103.195,NA
2018-08-31,109.665,NA
2018-09-01,118.665,NA
2018-09-02,120.7,NA
2018-09-03,127.595,NA
2018-09-04,136.38,NA
2018-09-05,126.2,NA
2018-09-06,115.915,NA
2018-09-07,113.915,NA
2018-09-08,107.34,NA
2018-09-09,104.43,NA
2018-09-10,105.425,NA
2018-09-11,105.23,NA
2018-09-12,104.455,NA
2018-09-13,107.95,NA
2018-09-14,114.2,NA
2018-09-15,117.56,NA
2018-09-16,117.895,NA
2018-09-17,111.75,NA
2018-09-18,108.82,NA
2018-09-19,110.38,NA
2018-09-20,112.66,NA
2018-09-21,120.005,NA
2018-09-22,123.29,NA
2018-09-23,122.21,NA
2018-09-24,118.605,NA
2018-09-25,115.655,NA
2018-09-26,115.62,NA
2018-09-27,116.9,NA
2018-09-28,117.81,NA
2018-09-29,115.45,NA
2018-09-30,114.985,NA
2018-10-01,115.08,NA
2018-10-02,115.275,NA
2018-10-03,115.095,NA
2018-10-04,114.24,NA
2018-10-05,114.665,NA
2018-10-06,114.54,NA
2018-10-07,113.855,NA
2018-10-08,113.795,NA
2018-10-09,113.37,NA
2018-10-10,113.34,NA
2018-10-11,106.775,NA
2018-10-12,100.055,NA
2018-10-13,101.09,NA
2018-10-14,100.93,NA
2018-10-15,102.935,NA
2018-10-16,106.81,NA
2018-10-17,106.525,NA
2018-10-18,104.305,NA
2018-10-19,103.095,NA
2018-10-20,103.45,NA
2018-10-21,104.31,NA
2018-10-22,105.08,NA
2018-10-23,107.11,NA
2018-10-24,107.2,NA
2018-10-25,106.085,NA
2018-10-26,105.15,NA
2018-10-27,103.985,NA
2018-10-28,103.785,NA
2018-10-29,102.395,NA
2018-10-30,101.69,NA
2018-10-31,103.57,NA
2018-11-01,104.065,NA
2018-11-02,104.63,NA
2018-11-03,106.02,NA
2018-11-04,109.75,NA
2018-11-05,111.945,NA
2018-11-06,112.185,NA
2018-11-07,111.895,NA
2018-11-08,109.745,NA
2018-11-09,107.43,NA
2018-11-10,105.405,NA
2018-11-11,105.19,NA
2018-11-12,105.585,NA
2018-11-13,104.22,NA
2018-11-14,96.225,NA
2018-11-15,88.69,NA
2018-11-16,87.06,NA
2018-11-17,87.39,NA
2018-11-18,88.065,NA
2018-11-19,80.32,NA
2018-11-20,68.41,NA
2018-11-21,66.85,NA
2018-11-22,66.57,NA
2018-11-23,65.35,NA
2018-11-24,61.785,NA
2018-11-25,57.38,NA
2018-11-26,55.075,NA
2018-11-27,54.815,NA
2018-11-28,60.2,NA
2018-11-29,62.04,NA
2018-11-30,59.495,NA
2018-12-01,58.39,NA
2018-12-02,59.03,NA
2018-12-03,56.735,NA
2018-12-04,55.43,NA
2018-12-05,53.84,NA
2018-12-06,48.495,NA
2018-12-07,46.28,NA
2018-12-08,45.745,NA
2018-12-09,46.165,NA
2018-12-10,45.495,NA
2018-12-11,42.98,NA
2018-12-12,42.77,NA
2018-12-13,42.09,NA
2018-12-14,39.63,NA
2018-12-15,38.555,NA
