Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2018-03-05;1.01;1.09;0.939;0.940;685000000.0;19600000000.0;19187111433.86;11962;251;1.6;1172105;423000000.0;852633
2018-03-06;0.938;0.980;0.890;0.901;589000000.0;17890000000.0;19190274191.15;8551;243;1.6;1173480;207000000.0;829983
2018-03-07;0.901;0.913;0.788;0.854;300000000.0;16629999999.999998;19191325637.16;986;244;1.52;1174965;195000000.0;723057
2018-03-08;0.853;0.872;0.794;0.805;171000000.0;16090000000.0;19191967777.72;8845;239;1.41;1176605;132000000.0;982376
2018-03-09;0.806;0.842;0.732;0.823;451000000.0;15070000000.0;19202738329.72;9106;239;1.36;1178017;198000000.0;1064186
2018-03-10;0.824;0.841;0.768;0.775;111000000.0;15570000000.0;19203232987.72;6421;236;1.36;1179332;168000000.0;945398
2018-03-11;0.775;0.830;0.749;0.817;237000000.0;15280000000.0;19204273214.72;6006;238;1.33;1180482;77740000.0;91707
2018-03-12;0.817;0.827;0.763;0.782;124000000.0;15330000000.0;19204523746.72;7733;236;1.19;1181603;94650000.0;853134
2018-03-13;0.781;0.799;0.760;0.777;106000000.0;14920000000.0;19205050992.74;8906;236;1.12;1183875;251000000.0;910286
2018-03-14;0.780;0.791;0.654;0.686;178000000.0;13990000000.0;19205637130.74;8439;228;1.17;1185421;391000000.0;845958
2018-03-15;0.686;0.722;0.628;0.683;213000000.0;12910000000.0;19206835612.74;11859;229;1.12;1186973;177000000.0;1074584
2018-03-16;0.684;0.711;0.658;0.678;151000000.0;13230000000.0;19207587110.74;8425;229;1.11;1188590;232000000.0;79661
2018-03-17;0.678;0.683;0.614;0.627;198000000.0;12500000000.0;19207925166.74;6655;222;0.99;1189951;120000000.0;827313
2018-03-18;0.626;0.683;0.538;0.650;252000000.0;11460000000.0;19209021117.74;8916;225;1.01;1191284;160000000.0;868148
2018-03-19;0.653;0.725;0.628;0.721;231000000.0;12870000000.0;19210572516.11;9405;234;1.08;1192478;250000000.0;785576
2018-03-20;0.719;0.719;0.658;0.699;219000000.0;13310000000.0;19211765854.91;7213;232;1.05;1193649;351000000.0;769929
2018-03-21;0.701;0.708;0.661;0.679;164000000.0;13270000000.0;19227327607.91;6975;229;1.02;1194831;212000000.0;643119
2018-03-22;0.679;0.690;0.622;0.652;136000000.0;12630000000.0;19228101641.91;7534;227;1.01;1195829;2200000000.0;588515
2018-03-23;0.652;0.653;0.613;0.640;123000000.0;12080000000.0;19243341451.47;7227;225;0.99;1196784;316000000.0;647129
2018-03-24;0.641;0.680;0.626;0.628;117000000.0;12520000000.0;19243630454.47;5221;227;0.97;1197646;125000000.0;690443
2018-03-25;0.627;0.654;0.622;0.634;80760000.0;12200000000.0;19244144000.47;4975;226;0.96;1198405;70150000.0;637852
2018-03-26;0.634;0.636;0.576;0.588;133000000.0;11610000000.0;19244534962.47;6514;226;0.95;1199386;277000000.0;623271
2018-03-27;0.588;0.601;0.557;0.570;112000000.0;11130000000.0;19245208013.36;6455;222;0.95;1200145;96650000.0;713627
2018-03-28;0.570;0.588;0.565;0.572;76670000.0;11070000000.0;19253984348.42;607;221;0.95;1201197;118000000.0;623935
2018-03-29;0.572;0.576;0.496;0.502;153000000.0;10270000000.0;19255579882.42;9369;214;1;1202280;113000000.0;752169
2018-03-30;0.501;0.526;0.471;0.499;269000000.0;9520000000.0;19265667293.33;7946;212;1;1203381;219000000.0;868343
2018-03-31;0.499;0.522;0.493;0.500;81630000.0;9770000000.0;19266208825.33;5689;216;1;1204266;50940000.0;636223
2018-04-01;0.501;0.507;0.455;0.479;168000000.0;9270000000.0;19266829782.32;5433;211;0.99;1205231;57120000.0;672618
2018-04-02;0.479;0.503;0.472;0.493;128000000.0;9380000000.0;19268297211.54;6422;211;1.01;1206273;88480000.0;61898
2018-04-03;0.494;0.553;0.492;0.548;143000000.0;10130000000.0;19293635081.75;8484;220;1.09;1207619;180000000.0;857259
2018-04-04;0.547;0.552;0.485;0.490;111000000.0;9880000000.0;19304601116.22;5793;210;1.03;1208400;115000000.0;934153
2018-04-05;0.490;0.497;0.474;0.489;160000000.0;9380000000.0;19305274763.69;5566;210;1.02;1209370;99500000.0;862211
2018-04-06;0.489;0.494;0.459;0.473;70000000.0;9130000000.0;19307092881.16;5205;210;1.02;1210113;626000000.0;578411
2018-04-07;0.473;0.496;0.471;0.484;57390000.0;9400000000.0;19307379427.63;5198;211;1.02;1211505;64349999.99999999;445533
2018-04-08;0.484;0.501;0.484;0.498;144000000.0;9510000000.0;19307661623.63;5697;212;1.02;1212960;30020000.0;411323
2018-04-09;0.497;0.511;0.475;0.486;256000000.0;9480000000.0;19308121312.18;5692;212;1.02;1214019;71060000.0;649113
2018-04-10;0.486;0.494;0.477;0.490;54130000.0;9360000000.0;19311662480.74;655;212;1.01;1215319;77810000.0;723512
2018-04-11;0.491;0.555;0.486;0.540;111000000.0;9850000000.0;19309101126.18;6456;222;1.05;1216601;94230000.0;581048
