"Date","Real","Pred"
2018-03-05,0.975,NA
2018-03-06,0.9195,NA
2018-03-07,0.8775,NA
2018-03-08,0.829,NA
2018-03-09,0.8145,NA
2018-03-10,0.7995,NA
2018-03-11,0.796,NA
2018-03-12,0.7995,NA
2018-03-13,0.779,NA
2018-03-14,0.733,NA
2018-03-15,0.6845,NA
2018-03-16,0.681,NA
2018-03-17,0.6525,NA
2018-03-18,0.638,NA
2018-03-19,0.687,NA
2018-03-20,0.709,NA
2018-03-21,0.69,NA
2018-03-22,0.6655,NA
2018-03-23,0.646,NA
2018-03-24,0.6345,NA
2018-03-25,0.6305,NA
2018-03-26,0.611,NA
2018-03-27,0.579,NA
2018-03-28,0.571,NA
2018-03-29,0.537,NA
2018-03-30,0.5,NA
2018-03-31,0.4995,NA
2018-04-01,0.49,NA
2018-04-02,0.486,NA
2018-04-03,0.521,NA
2018-04-04,0.5185,NA
2018-04-05,0.4895,NA
2018-04-06,0.481,NA
2018-04-07,0.4785,NA
2018-04-08,0.491,NA
2018-04-09,0.4915,NA
2018-04-10,0.488,NA
2018-04-11,0.5155,NA
2018-04-12,0.5905,NA
2018-04-13,0.6425,NA
2018-04-14,0.6415,NA
2018-04-15,0.667,NA
2018-04-16,0.6785,NA
2018-04-17,0.659,NA
2018-04-18,0.6835,NA
2018-04-19,0.748,NA
2018-04-20,0.8545,NA
2018-04-21,0.895,NA
2018-04-22,0.8635,NA
2018-04-23,0.868,NA
2018-04-24,0.8985,NA
2018-04-25,0.858,NA
2018-04-26,0.82,NA
2018-04-27,0.8265,NA
2018-04-28,0.8335,NA
2018-04-29,0.865,NA
2018-04-30,0.8495,NA
2018-05-01,0.833,NA
2018-05-02,0.8465,NA
2018-05-03,0.8695,NA
2018-05-04,0.8845,NA
2018-05-05,0.894,NA
2018-05-06,0.8805,NA
2018-05-07,0.843,NA
2018-05-08,0.8155,NA
2018-05-09,0.8005,NA
2018-05-10,0.7715,NA
2018-05-11,0.713,NA
2018-05-12,0.681,NA
2018-05-13,0.707,NA
2018-05-14,0.728,NA
2018-05-15,0.7085,NA
2018-05-16,0.6985,NA
2018-05-17,0.6835,NA
2018-05-18,0.668,NA
2018-05-19,0.6755,NA
2018-05-20,0.6865,NA
2018-05-21,0.6885,NA
2018-05-22,0.657,NA
2018-05-23,0.6145,NA
2018-05-24,0.61,NA
2018-05-25,0.617,NA
2018-05-26,0.6065,NA
2018-05-27,0.606,NA
2018-05-28,0.576,NA
2018-05-29,0.5735,NA
2018-05-30,0.6005,NA
2018-05-31,0.6055,NA
2018-06-01,0.616,NA
2018-06-02,0.632,NA
2018-06-03,0.666,NA
2018-06-04,0.672,NA
2018-06-05,0.6645,NA
2018-06-06,0.6735,NA
2018-06-07,0.675,NA
2018-06-08,0.675,NA
2018-06-09,0.6655,NA
2018-06-10,0.6195,NA
2018-06-11,0.59,NA
2018-06-12,0.5775,NA
2018-06-13,0.543,NA
