Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume
2018-03-05;408.02;410.42;386.65;388.67;8180000.0;;;2830000.0;87765;14;1.55;497813;38560000.0
2018-03-06;387.30;395.99;375.66;383.13;18320000.0;;;2720000.0;90926;14;1.55;497819;37250000.0
2018-03-07;383.98;387.89;328.73;346.59;10120000.0;;;2420000.0;82813;12;1.54;498929;40500000.0
2018-03-08;345.66;351.53;307.97;314.60;8000000.0;;;2290000.0;85;10;1.51;502789;33640000.0
2018-03-09;315.39;319.20;276.85;307.36;35810000.0;;;2210000.0;80999;10;1.33;50306;37800000.0
2018-03-10;308.22;317.09;283.56;285.29;5330000.0;;;2009999.9999999998;76907;8;1.35;505033;18390000.0
2018-03-11;284.49;318.89;274.97;306.37;14590000.0;;;2210000.0;80993;10;1.09;508415;24780000.0
2018-03-12;306.28;312.83;275.55;288.92;7930000.0;;;2040000.0;80898;8;1.05;507703;29000000.0
2018-03-13;288.06;302.03;277.38;282.23;6160000.0;;;2029999.9999999998;80408;8;1.04;506816;25940000.0
2018-03-14;284.49;288.85;241.87;247.06;9580000.0;;;1790000.0;7564;7;1.07;509823;26000000.0
2018-03-15;247.84;252.46;230.42;242.11;6360000.0;;;1740000.0;80952;7;1.03;508636;27100000.0
2018-03-16;242.45;247.26;231.82;234.06;5430000.0;;;1700000.0;7216;6;1.03;511127;26400000.0
2018-03-17;234.10;236.92;216.80;217.76;8690000.0;;;1560000.0;81744;6;0.98;511255;11130000.0
2018-03-18;217.58;247.82;201.75;243.43;10630000.0;;;1740000.0;72707;7;1.09;511121;18380000.0
2018-03-19;245.26;254.59;227.12;254.33;10310000.0;;;1780000.0;86842;7;1.11;513041;19540000.0
2018-03-20;253.57;267.37;235.92;258.54;7720000.0;;;1880000.0;90833;8;1.11;509461;19810000.0
2018-03-21;260.05;281.18;253.64;258.70;10640000.0;;;1840000.0;82175;8;1.08;509871;28830000.0
2018-03-22;259.32;267.45;236.76;249.12;5470000.0;;;1770000.0;77572;8;1.06;512175;13620000.0
2018-03-23;249.32;275.10;226.70;259.02;9040000.0;;;1840000.0;77622;7;1.05;512167;20700000.0
2018-03-24;259.12;260.20;239.40;240.27;5140000.0;;;1710000.0;77869;7;1.07;514032;19530000.0
2018-03-25;239.55;243.11;235.18;238.23;3600000.0;;;1720000.0;79295;6;1.06;51472;15420000.0
2018-03-26;238.29;240.21;210.23;224.31;6370000.0;;;1620000.0;77494;6;1.04;514564;23420000.0
2018-03-27;224.16;228.92;208.36;215.23;4360000.0;;;1540000.0;78061;6;1.04;516093;12770000.0
2018-03-28;215.19;220.38;207.34;211.08;3440000.0;;;1520000.0;81609;5;1.03;519956;13790000.0
2018-03-29;210.19;211.34;185.36;185.89;6470000.0;;;1330000.0;89092;4;1.07;516124;18780000.0
2018-03-30;185.94;198.15;181.61;189.49;15540000.0;;;1340000.0;83466;4;1.07;518389;13850000.0
2018-03-31;189.08;196.74;183.53;184.45;2610000.0;;;1320000.0;8521;4;1.06;518399;10420000.0
2018-04-01;184.54;191.00;173.47;181.82;8700000.0;;;1310000.0;84099;4;1.04;522004;9810000.0
2018-04-02;182.04;200.68;180.70;192.66;11720000.0;;;1390000.0;83213;5;1.07;527516;25240000.0
2018-04-03;193.13;208.69;190.57;205.41;5240000.0;;;1470000.0;82383;5;1.11;527167;16850000.0
2018-04-04;206.05;206.05;179.95;181.62;4190000.0000000005;;;1300000.0;77559;4;1.12;527571;13170000.0
2018-04-05;181.40;187.67;176.84;182.55;7230000.0;;;1310000.0;8013;4;1.12;528966;15960000.0
2018-04-06;182.46;184.04;172.71;173.83;2580000.0;;;1240000.0;79778;4;1.12;53094;7040000.0
2018-04-07;174.17;184.06;173.31;180.26;2610000.0;;;1300000.0;80902;4;1.11;524262;8560000.0
2018-04-08;180.29;184.83;179.04;183.55;7180000.0;;;1310000.0;77242;4;1.09;526395;6490000.0
2018-04-09;183.54;188.51;173.28;177.07;17420000.0;;;1270000.0;80937;4;1.09;523985;13480000.0
2018-04-10;177.86;180.88;174.28;179.97;3020000.0;;;1250000.0;81498;4;1.07;527711;16670000.000000002
2018-04-11;179.97;184.61;178.66;184.11;4250000.0;;;1320000.0;80567;4;1.04;527122;13480000.0
2018-04-12;184.29;217.83;182.52;216.32;20730000.0;;;1550000.0;84227;6;1.21;525085;27900000.0
2018-04-13;217.06;242.83;210.89;228.88;12850000.0;;;1640000.0;80447;6;1.23;519834;24330000.0
2018-04-14;228.26;239.45;218.55;221.67;4920000.0;;;1580000.0;76102;6;1.15;525826;11840000.0
2018-04-15;221.79;235.40;221.68;232.40;5050000.0;;;1670000.0;76501;7;1.16;52644;10970000.0
2018-04-16;232.53;235.41;217.60;224.78;5860000.0;;;1630000.0;7863;6;1.16;525335;23820000.0
2018-04-17;224.89;228.15;219.30;221.40;6450000.0;;;1580000.0;77407;6;1.14;523554;17090000.0
2018-04-18;221.24;249.53;221.21;248.61;26280000.0;;;1780000.0;80414;8;1.14;521941;29000000.0
2018-04-19;247.83;265.56;240.37;263.52;11900000.0;;;1910000.0;80101;8;1.15;52576;25160000.0
2018-04-20;264.03;286.93;255.63;282.50;29570000.0;;;2000000.0;78041;8;1.17;530222;34600000.0
2018-04-21;282.56;283.35;253.87;269.90;20590000.0;;;1950000.0;79534;8;1.18;528759;39160000.0
2018-04-22;269.49;282.20;263.06;271.47;8160000.0;;;1960000.0;7837;8;1.17;530035;23160000.0
2018-04-23;271.04;300.32;268.80;299.76;15720000.0;;;2120000.0;85219;9;1.22;526555;39020000.0
2018-04-24;299.41;329.56;298.18;315.90;39690000.0;;;2270000.0;81859;11;1.19;528297;36780000.0
2018-04-25;316.46;316.77;265.17;284.57;17440000.0;;;2029999.9999999998;81908;8;1.25;528952;32700000.000000004
2018-04-26;283.43;304.27;274.33;303.65;7630000.0;;;2170000.0;80619;10;1.24;52515;21250000.0
2018-04-27;303.70;304.02;278.42;281.35;6590000.0;;;2029999.9999999998;79359;8;1.27;530487;17400000.0
2018-04-28;281.31;298.21;279.58;295.79;6280000.0;;;2100000.0;76905;10;1.27;533707;13650000.0
2018-04-29;295.75;304.56;282.21;293.12;7570000.0;;;2120000.0;78642;10;1.19;531193;13960000.0
2018-04-30;293.65;297.30;281.60;284.03;8289999.999999999;;;2020000.0;81268;9;1.2;533421;32280000.0
2018-05-01;283.69;292.13;269.54;290.76;10760000.0;;;2069999.9999999998;80132;10;1.19;532356;35740000.0
2018-05-02;291.08;295.34;285.09;293.28;6520000.0;;;2110000.0;874;10;1.18;528546;26010000.0
