"Date","Real","Pred"
2018-03-05,398.345,NA
2018-03-06,385.215,NA
2018-03-07,365.285,NA
2018-03-08,330.13,NA
2018-03-09,311.375,NA
2018-03-10,296.755,NA
2018-03-11,295.43,NA
2018-03-12,297.6,NA
2018-03-13,285.145,NA
2018-03-14,265.775,NA
2018-03-15,244.975,NA
2018-03-16,238.255,NA
2018-03-17,225.93,NA
2018-03-18,230.505,NA
2018-03-19,249.795,NA
2018-03-20,256.055,NA
2018-03-21,259.375,NA
2018-03-22,254.22,NA
2018-03-23,254.17,NA
2018-03-24,249.695,NA
2018-03-25,238.89,NA
2018-03-26,231.3,NA
2018-03-27,219.695,NA
2018-03-28,213.135,NA
2018-03-29,198.04,NA
2018-03-30,187.715,NA
2018-03-31,186.765,NA
2018-04-01,183.18,NA
2018-04-02,187.35,NA
2018-04-03,199.27,NA
2018-04-04,193.835,NA
2018-04-05,181.975,NA
2018-04-06,178.145,NA
2018-04-07,177.215,NA
2018-04-08,181.92,NA
2018-04-09,180.305,NA
2018-04-10,178.915,NA
2018-04-11,182.04,NA
2018-04-12,200.305,NA
2018-04-13,222.97,NA
2018-04-14,224.965,NA
2018-04-15,227.095,NA
2018-04-16,228.655,NA
2018-04-17,223.145,NA
2018-04-18,234.925,NA
2018-04-19,255.675,NA
2018-04-20,273.265,NA
2018-04-21,276.23,NA
2018-04-22,270.48,NA
2018-04-23,285.4,NA
2018-04-24,307.655,NA
2018-04-25,300.515,NA
2018-04-26,293.54,NA
2018-04-27,292.525,NA
2018-04-28,288.55,NA
2018-04-29,294.435,NA
2018-04-30,288.84,NA
2018-05-01,287.225,NA
2018-05-02,292.18,NA
2018-05-03,300.805,NA
2018-05-04,301.285,NA
2018-05-05,300.845,NA
2018-05-06,298.395,NA
2018-05-07,285.955,NA
2018-05-08,277.45,NA
2018-05-09,274.875,NA
2018-05-10,268.725,NA
2018-05-11,249.395,NA
2018-05-12,241.485,NA
2018-05-13,252.95,NA
2018-05-14,285.35,NA
2018-05-15,331.93,NA
2018-05-16,359.655,NA
2018-05-17,339.955,NA
2018-05-18,336.325,NA
2018-05-19,351.075,NA
2018-05-20,346.735,NA
2018-05-21,338.815,NA
2018-05-22,319.69,NA
2018-05-23,298.14,NA
2018-05-24,290.23,NA
2018-05-25,288.335,NA
2018-05-26,275.75,NA
2018-05-27,265.08,NA
2018-05-28,244.13,NA
2018-05-29,237.175,NA
2018-05-30,243.32,NA
2018-05-31,240.285,NA
2018-06-01,239.505,NA
2018-06-02,244.485,NA
2018-06-03,251.105,NA
2018-06-04,244.155,NA
2018-06-05,236.525,NA
2018-06-06,236.985,NA
2018-06-07,235.93,NA
2018-06-08,235.925,NA
2018-06-09,232.655,NA
2018-06-10,214.135,NA
2018-06-11,201.935,NA
2018-06-12,198.83,NA
2018-06-13,187.645,NA
2018-06-14,190.27,NA
2018-06-15,195.635,NA
2018-06-16,191.3,NA
2018-06-17,187.94,NA
2018-06-18,191.18,NA
2018-06-19,197.095,NA
2018-06-20,195.855,NA
2018-06-21,192.02,NA
2018-06-22,178.615,NA
2018-06-23,168.27,NA
2018-06-24,168,NA
2018-06-25,170.82,NA
2018-06-26,168.625,NA
2018-06-27,164.495,NA
2018-06-28,160.65,NA
2018-06-29,158.02,NA
2018-06-30,166.495,NA
2018-07-01,170.12,NA
2018-07-02,176.87,NA
2018-07-03,181.585,NA
2018-07-04,180.17,NA
2018-07-05,177.87,NA
2018-07-06,174.765,NA
2018-07-07,174.93,NA
2018-07-08,174.385,NA
2018-07-09,170.145,NA
2018-07-10,163.235,NA
2018-07-11,158.78,NA
2018-07-12,156.095,NA
2018-07-13,164.69,NA
2018-07-14,174.385,NA
2018-07-15,173.69,NA
2018-07-16,181.35,NA
2018-07-17,199.095,NA
2018-07-18,209.695,NA
2018-07-19,204.77,NA
2018-07-20,191.555,NA
2018-07-21,185.605,NA
2018-07-22,188.925,NA
2018-07-23,189.525,NA
2018-07-24,206.66,NA
2018-07-25,222.745,NA
2018-07-26,221.25,NA
2018-07-27,221.335,NA
2018-07-28,221.865,NA
2018-07-29,219.495,NA
2018-07-30,215.425,NA
2018-07-31,211.99,NA
2018-08-01,203.22,NA
2018-08-02,191.54,NA
2018-08-03,186.1,NA
2018-08-04,180.38,NA
2018-08-05,176.81,NA
2018-08-06,180.07,NA
2018-08-07,178.255,NA
2018-08-08,168.135,NA
2018-08-09,167.39,NA
2018-08-10,167.35,NA
2018-08-11,158.16,NA
2018-08-12,156.235,NA
2018-08-13,149.41,NA
2018-08-14,137.935,NA
2018-08-15,134.375,NA
2018-08-16,137.66,NA
2018-08-17,146.39,NA
2018-08-18,147.205,NA
2018-08-19,141.69,NA
2018-08-20,135.25,NA
2018-08-21,132.01,NA
2018-08-22,131.245,NA
2018-08-23,130.03,NA
2018-08-24,136.98,NA
2018-08-25,139.79,NA
2018-08-26,136.83,NA
2018-08-27,143.405,NA
2018-08-28,152.85,NA
2018-08-29,153.455,NA
2018-08-30,152.015,NA
2018-08-31,150.11,NA
2018-09-01,153.735,NA
2018-09-02,156.895,NA
2018-09-03,156.18,NA
2018-09-04,156.29,NA
2018-09-05,143.29,NA
2018-09-06,130.855,NA
2018-09-07,127.975,NA
2018-09-08,122.86,NA
2018-09-09,119.92,NA
2018-09-10,119.35,NA
2018-09-11,115.48,NA
2018-09-12,111.28,NA
2018-09-13,114.685,NA
2018-09-14,118.2,NA
2018-09-15,119.26,NA
2018-09-16,119.555,NA
2018-09-17,113.375,NA
2018-09-18,109.65,NA
2018-09-19,112.495,NA
2018-09-20,116.425,NA
2018-09-21,123.295,NA
2018-09-22,125.135,NA
2018-09-23,126.965,NA
2018-09-24,134.045,NA
2018-09-25,136.74,NA
2018-09-26,133.96,NA
2018-09-27,137.505,NA
2018-09-28,138.95,NA
2018-09-29,133.825,NA
2018-09-30,131.32,NA
2018-10-01,127.995,NA
2018-10-02,125.715,NA
2018-10-03,123.41,NA
2018-10-04,122.485,NA
2018-10-05,125.35,NA
2018-10-06,125.89,NA
2018-10-07,124.51,NA
2018-10-08,125.36,NA
2018-10-09,125.55,NA
2018-10-10,124.275,NA
2018-10-11,115.96,NA
2018-10-12,108.825,NA
2018-10-13,109.66,NA
2018-10-14,108.77,NA
2018-10-15,109.455,NA
2018-10-16,111.935,NA
2018-10-17,115.595,NA
2018-10-18,117.55,NA
2018-10-19,118.29,NA
2018-10-20,122.185,NA
2018-10-21,124.525,NA
2018-10-22,123.075,NA
2018-10-23,121.215,NA
2018-10-24,121.75,NA
2018-10-25,123.805,NA
2018-10-26,121.49,NA
2018-10-27,119.755,NA
2018-10-28,120.995,NA
2018-10-29,119.49,NA
2018-10-30,115.155,NA
2018-10-31,115.105,NA
2018-11-01,115.535,NA
2018-11-02,116.86,NA
2018-11-03,117.23,NA
2018-11-04,119.435,NA
2018-11-05,122.045,NA
2018-11-06,126.2,NA
2018-11-07,129.75,NA
2018-11-08,132.735,NA
2018-11-09,135.02,NA
2018-11-10,131.7,NA
2018-11-11,129.085,NA
2018-11-12,131.55,NA
2018-11-13,129.635,NA
2018-11-14,117.48,NA
2018-11-15,109.9,NA
2018-11-16,110.5,NA
2018-11-17,109.465,NA
2018-11-18,111.505,NA
2018-11-19,104.64,NA
2018-11-20,90.205,NA
2018-11-21,84.045,NA
2018-11-22,80.77,NA
2018-11-23,76.745,NA
2018-11-24,71.525,NA
2018-11-25,67.67,NA
2018-11-26,67.48,NA
2018-11-27,68.895,NA
2018-11-28,76.195,NA
2018-11-29,83.515,NA
2018-11-30,84.125,NA
2018-12-01,79.86,NA
2018-12-02,78.93,NA
2018-12-03,74.86,NA
2018-12-04,72,NA
2018-12-05,69.6,NA
2018-12-06,61.29,NA
2018-12-07,58.29,NA
2018-12-08,57.64,NA
2018-12-09,58.22,NA
2018-12-10,57.565,NA
2018-12-11,54.25,NA
2018-12-12,53.86,NA
2018-12-13,52.73,NA
2018-12-14,50.05,NA
2018-12-15,49.04,NA
2018-12-16,49.91,NA
2018-12-17,53.305,NA
2018-12-18,57.17,NA
2018-12-19,57.55,NA
2018-12-20,60.955,NA
2018-12-21,63.53,NA
2018-12-22,63.365,NA
2018-12-23,64.065,NA
2018-12-24,66.265,NA
2018-12-25,64.355,NA
2018-12-26,60.825,NA
2018-12-27,57.92,NA
2018-12-28,58.895,NA
2018-12-29,60.935,NA
2018-12-30,59.48,NA
2018-12-31,57.47,NA
2019-01-01,57.505,NA
2019-01-02,60.135,NA
2019-01-03,59.585,NA
2019-01-04,58.215,NA
2019-01-05,58.06,NA
2019-01-06,59.635,NA
2019-01-07,60.915,NA
2019-01-08,60.325,NA
2019-01-09,60.145,NA
2019-01-10,57.25,NA
2019-01-11,54.95,NA
2019-01-12,55.535,NA
2019-01-13,54.08,NA
2019-01-14,54.24,NA
2019-01-15,54.5,NA
2019-01-16,52.96,NA
2019-01-17,53.455,NA
2019-01-18,53.335,NA
2019-01-19,53.34,NA
2019-01-20,53,NA
2019-01-21,52.16,NA
2019-01-22,52.27,NA
2019-01-23,52.31,NA
2019-01-24,52.675,NA
2019-01-25,52.705,NA
2019-01-26,52.04,NA
2019-01-27,51.42,NA
2019-01-28,49.94,NA
2019-01-29,48.625,NA
2019-01-30,48.73,NA
2019-01-31,48.935,NA
2019-02-01,48.395,NA
2019-02-02,48.54,NA
2019-02-03,48.57,NA
2019-02-04,47.9,NA
2019-02-05,47.715,NA
2019-02-06,46.875,NA
2019-02-07,46.195,NA
2019-02-08,47.93,NA
2019-02-09,49.475,NA
2019-02-10,49.905,NA
2019-02-11,50.63,NA
2019-02-12,51.97,NA
2019-02-13,52.725,NA
2019-02-14,51.715,NA
2019-02-15,50.68,NA
2019-02-16,50.64,NA
2019-02-17,51.345,NA
2019-02-18,53.015,NA
2019-02-19,54.26,NA
2019-02-20,54.8,NA
2019-02-21,53.505,NA
2019-02-22,53.035,NA
2019-02-23,54.915,NA
2019-02-24,53.765,NA
2019-02-25,51.525,NA
2019-02-26,51.93,NA
2019-02-27,51.87,NA
2019-02-28,51.57,NA
2019-03-01,51.255,NA
2019-03-02,51.345,NA
2019-03-03,50.6,NA
2019-03-04,49.115,NA
2019-03-05,49.275,NA
2019-03-06,50.24,NA
2019-03-07,50.075,NA
2019-03-08,49.485,NA
2019-03-09,50.145,NA
2019-03-10,50.705,NA
2019-03-11,49.685,NA
2019-03-12,51.06,NA
2019-03-13,51.89,NA
2019-03-14,51.22,NA
2019-03-15,52.41,NA
2019-03-16,53.595,NA
2019-03-17,53.81,NA
2019-03-18,53.595,NA
2019-03-19,55.03,NA
2019-03-20,57.44,NA
2019-03-21,56.97,NA
2019-03-22,55.245,NA
2019-03-23,55.86,NA
2019-03-24,56.955,NA
2019-03-25,55.97,NA
2019-03-26,54.705,NA
2019-03-27,55.625,NA
2019-03-28,56.545,NA
2019-03-29,56.605,NA
2019-03-30,57.05,NA
2019-03-31,57.925,NA
2019-04-01,60.675,NA
2019-04-02,66.465,NA
2019-04-03,69.885,NA
2019-04-04,68.07,NA
2019-04-05,69.615,NA
2019-04-06,71.835,NA
2019-04-07,73.08,NA
2019-04-08,73.71,NA
2019-04-09,71.85,NA
2019-04-10,71.46,NA
2019-04-11,71.03,NA
2019-04-12,70.74,NA
2019-04-13,70.585,NA
2019-04-14,69.755,NA
2019-04-15,68.82,NA
2019-04-16,68.38,NA
2019-04-17,69.985,NA
2019-04-18,70.72,NA
2019-04-19,70.28,NA
2019-04-20,69.825,NA
2019-04-21,69.255,NA
2019-04-22,68.965,NA
2019-04-23,68.24,NA
2019-04-24,66.35,NA
2019-04-25,63.29,NA
2019-04-26,60.75,NA
2019-04-27,60.535,NA
2019-04-28,59.91,NA
2019-04-29,58.405,NA
2019-04-30,58.96,NA
2019-05-01,60.545,NA
2019-05-02,60.12,NA
2019-05-03,60.92,NA
2019-05-04,61.415,NA
2019-05-05,60.245,NA
2019-05-06,59.815,NA
2019-05-07,58.66,NA
2019-05-08,57.505,NA
2019-05-09,57.215,NA
2019-05-10,56.875,NA
2019-05-11,60.36,NA
2019-05-12,62.245,NA
2019-05-13,62.1,NA
2019-05-14,65.605,NA
2019-05-15,72.525,NA
2019-05-16,76.22,NA
2019-05-17,74.385,NA
2019-05-18,72.66,NA
2019-05-19,74.975,NA
2019-05-20,77.305,NA
2019-05-21,75.7,NA
2019-05-22,72.39,NA
2019-05-23,70.935,NA
2019-05-24,72.405,NA
2019-05-25,72.61,NA
2019-05-26,74.355,NA
2019-05-27,76.54,NA
2019-05-28,80.89,NA
2019-05-29,85.09,NA
2019-05-30,84.065,NA
2019-05-31,86.55,NA
2019-06-01,88.155,NA
2019-06-02,87.605,NA
2019-06-03,86.185,NA
2019-06-04,80.295,NA
2019-06-05,79.095,NA
2019-06-06,80.2,NA
2019-06-07,81.765,NA
2019-06-08,82.035,NA
2019-06-09,79.055,NA
2019-06-10,78.82,NA
2019-06-11,80.235,NA
2019-06-12,85.705,NA
2019-06-13,89.765,NA
2019-06-14,89.61,NA
2019-06-15,91.895,NA
2019-06-16,93.225,NA
2019-06-17,98.115,NA
2019-06-18,107.15,NA
2019-06-19,111.535,NA
2019-06-20,110.445,NA
2019-06-21,109.905,NA
2019-06-22,111.595,NA
2019-06-23,111.245,NA
