"Date","Real","Pred"
2018-03-05,1270.365,NA
2018-03-06,1229.73,NA
2018-03-07,1148.07,NA
2018-03-08,1061.11,NA
2018-03-09,1048.475,NA
2018-03-10,1032.135,NA
2018-03-11,1069.635,NA
2018-03-12,1094.31,NA
2018-03-13,1050.2,NA
2018-03-14,999.435,NA
2018-03-15,941.775,NA
2018-03-16,955.405,NA
2018-03-17,957.395,NA
2018-03-18,938.63,NA
2018-03-19,964.855,NA
2018-03-20,1026.65,NA
2018-03-21,1045.855,NA
2018-03-22,1020.91,NA
2018-03-23,1019.105,NA
2018-03-24,998.975,NA
2018-03-25,969.27,NA
2018-03-26,940.6,NA
2018-03-27,892.655,NA
2018-03-28,865.93,NA
2018-03-29,783.535,NA
2018-03-30,702.215,NA
2018-03-31,689.235,NA
2018-04-01,662.745,NA
2018-04-02,651.605,NA
2018-04-03,684.9,NA
2018-04-04,677.02,NA
2018-04-05,643.225,NA
2018-04-06,624.55,NA
2018-04-07,623.625,NA
2018-04-08,646,NA
2018-04-09,645.28,NA
2018-04-10,643.12,NA
2018-04-11,658.745,NA
2018-04-12,702.175,NA
2018-04-13,738.845,NA
2018-04-14,739.42,NA
2018-04-15,758.55,NA
2018-04-16,773.97,NA
2018-04-17,762.58,NA
2018-04-18,826.04,NA
2018-04-19,930.51,NA
2018-04-20,1045.93,NA
2018-04-21,1140.185,NA
2018-04-22,1174.615,NA
2018-04-23,1317.01,NA
2018-04-24,1422.925,NA
2018-04-25,1348.325,NA
2018-04-26,1353.055,NA
2018-04-27,1376.01,NA
2018-04-28,1360.92,NA
2018-04-29,1415.125,NA
2018-04-30,1393.305,NA
2018-05-01,1350.995,NA
2018-05-02,1404.17,NA
2018-05-03,1482.485,NA
2018-05-04,1509.965,NA
2018-05-05,1634.955,NA
2018-05-06,1755.84,NA
2018-05-07,1702.045,NA
2018-05-08,1624.34,NA
2018-05-09,1612.1,NA
2018-05-10,1572.555,NA
2018-05-11,1443.16,NA
2018-05-12,1412.445,NA
2018-05-13,1468.665,NA
2018-05-14,1444.92,NA
2018-05-15,1374.78,NA
2018-05-16,1308.245,NA
2018-05-17,1236.715,NA
2018-05-18,1198.83,NA
2018-05-19,1190.435,NA
2018-05-20,1233.73,NA
2018-05-21,1260.085,NA
2018-05-22,1185.185,NA
2018-05-23,1064.105,NA
2018-05-24,1033.46,NA
2018-05-25,1042.72,NA
2018-05-26,1008.605,NA
2018-05-27,999.215,NA
2018-05-28,938.085,NA
2018-05-29,935.09,NA
2018-05-30,985.235,NA
2018-05-31,988.83,NA
2018-06-01,998,NA
2018-06-02,1043.195,NA
2018-06-03,1126.06,NA
2018-06-04,1132.995,NA
2018-06-05,1123.805,NA
2018-06-06,1139.415,NA
2018-06-07,1136.115,NA
2018-06-08,1129.48,NA
2018-06-09,1100.61,NA
2018-06-10,1010.75,NA
2018-06-11,944.615,NA
2018-06-12,911.835,NA
2018-06-13,856.09,NA
2018-06-14,869.14,NA
2018-06-15,868.9,NA
2018-06-16,846.16,NA
2018-06-17,847.615,NA
2018-06-18,865.765,NA
2018-06-19,895.905,NA
2018-06-20,899.385,NA
2018-06-21,881.755,NA
2018-06-22,811.04,NA
2018-06-23,756.715,NA
2018-06-24,754.635,NA
2018-06-25,750.345,NA
