"Date","Real","Pred"
2018-03-05,8.02,NA
2018-03-06,7.525,NA
2018-03-07,6.77,NA
2018-03-08,6.245,NA
2018-03-09,6.055,NA
2018-03-10,5.83,NA
2018-03-11,5.845,NA
2018-03-12,5.885,NA
2018-03-13,5.75,NA
2018-03-14,5.53,NA
2018-03-15,5.19,NA
2018-03-16,5.075,NA
2018-03-17,4.82,NA
2018-03-18,4.605,NA
2018-03-19,5.405,NA
2018-03-20,6.045,NA
2018-03-21,6.415,NA
2018-03-22,6.89,NA
2018-03-23,6.91,NA
2018-03-24,6.715,NA
2018-03-25,6.455,NA
2018-03-26,6.11,NA
2018-03-27,5.8,NA
2018-03-28,5.995,NA
2018-03-29,6.025,NA
2018-03-30,5.935,NA
2018-03-31,5.965,NA
2018-04-01,5.765,NA
2018-04-02,5.705,NA
2018-04-03,5.92,NA
2018-04-04,5.84,NA
2018-04-05,5.98,NA
2018-04-06,6.075,NA
2018-04-07,5.85,NA
2018-04-08,5.92,NA
2018-04-09,5.9,NA
2018-04-10,5.915,NA
2018-04-11,7.25,NA
2018-04-12,8.675,NA
2018-04-13,8.825,NA
2018-04-14,8.77,NA
2018-04-15,8.62,NA
2018-04-16,8.32,NA
2018-04-17,8.3,NA
2018-04-18,8.76,NA
2018-04-19,9.245,NA
2018-04-20,10.46,NA
2018-04-21,11.295,NA
2018-04-22,11.21,NA
2018-04-23,11.455,NA
2018-04-24,13.345,NA
2018-04-25,14.77,NA
2018-04-26,14.895,NA
2018-04-27,16.02,NA
2018-04-28,17.685,NA
2018-04-29,20.095,NA
2018-04-30,19.445,NA
2018-05-01,18.105,NA
2018-05-02,18.97,NA
2018-05-03,18.43,NA
2018-05-04,17.325,NA
2018-05-05,17.355,NA
2018-05-06,17.49,NA
2018-05-07,17.555,NA
2018-05-08,17.875,NA
2018-05-09,17.855,NA
2018-05-10,17.555,NA
2018-05-11,16.065,NA
2018-05-12,14.385,NA
2018-05-13,14.285,NA
2018-05-14,14.19,NA
2018-05-15,13.29,NA
2018-05-16,12.73,NA
2018-05-17,12.455,NA
2018-05-18,12.58,NA
2018-05-19,13.02,NA
2018-05-20,13.495,NA
2018-05-21,13.67,NA
2018-05-22,12.765,NA
2018-05-23,11.39,NA
2018-05-24,11.715,NA
2018-05-25,12.455,NA
2018-05-26,12.18,NA
2018-05-27,12.305,NA
2018-05-28,11.955,NA
2018-05-29,11.815,NA
2018-05-30,12.005,NA
2018-05-31,12.05,NA
2018-06-01,12.21,NA
2018-06-02,13.455,NA
2018-06-03,14.615,NA
2018-06-04,14.01,NA
2018-06-05,13.825,NA
2018-06-06,14.05,NA
2018-06-07,14.295,NA
2018-06-08,14.35,NA
2018-06-09,14.075,NA
2018-06-10,12.7,NA
2018-06-11,11.36,NA
2018-06-12,10.76,NA
2018-06-13,10.04,NA
2018-06-14,10.635,NA
2018-06-15,10.93,NA
2018-06-16,10.555,NA
2018-06-17,10.43,NA
2018-06-18,10.505,NA
2018-06-19,10.675,NA
2018-06-20,10.53,NA
2018-06-21,10.405,NA
2018-06-22,9.465,NA
2018-06-23,8.47,NA
2018-06-24,8.235,NA
2018-06-25,8.16,NA
2018-06-26,7.85,NA
2018-06-27,7.695,NA
2018-06-28,7.675,NA
2018-06-29,7.555,NA
2018-06-30,7.935,NA
2018-07-01,8.115,NA
2018-07-02,8.54,NA
2018-07-03,8.895,NA
2018-07-04,8.86,NA
2018-07-05,8.865,NA
2018-07-06,8.725,NA
2018-07-07,8.735,NA
2018-07-08,8.76,NA
2018-07-09,8.19,NA
2018-07-10,7.41,NA
2018-07-11,7.145,NA
2018-07-12,7.04,NA
2018-07-13,6.9,NA
2018-07-14,6.91,NA
2018-07-15,7.16,NA
2018-07-16,7.745,NA
2018-07-17,8.43,NA
2018-07-18,8.69,NA
2018-07-19,8.5,NA
2018-07-20,8.13,NA
2018-07-21,7.925,NA
2018-07-22,7.925,NA
2018-07-23,7.885,NA
2018-07-24,8.25,NA
2018-07-25,8.545,NA
2018-07-26,8.41,NA
2018-07-27,8.365,NA
2018-07-28,8.395,NA
2018-07-29,8.34,NA
2018-07-30,8.035,NA
2018-07-31,7.53,NA
2018-08-01,7.275,NA
2018-08-02,7.115,NA
2018-08-03,7.095,NA
2018-08-04,7.08,NA
2018-08-05,7.01,NA
2018-08-06,7.045,NA
2018-08-07,6.81,NA
2018-08-08,6.07,NA
2018-08-09,5.67,NA
2018-08-10,5.5,NA
2018-08-11,5.11,NA
2018-08-12,4.97,NA
2018-08-13,4.77,NA
2018-08-14,4.58,NA
2018-08-15,4.6,NA
2018-08-16,4.57,NA
2018-08-17,5.045,NA
2018-08-18,5.335,NA
2018-08-19,5.185,NA
2018-08-20,4.995,NA
2018-08-21,4.805,NA
2018-08-22,4.81,NA
2018-08-23,4.805,NA
2018-08-24,4.97,NA
2018-08-25,5.04,NA
2018-08-26,4.99,NA
2018-08-27,5.17,NA
2018-08-28,5.65,NA
2018-08-29,6.02,NA
2018-08-30,6.1,NA
2018-08-31,6.24,NA
2018-09-01,6.535,NA
2018-09-02,6.645,NA
2018-09-03,6.555,NA
2018-09-04,6.47,NA
2018-09-05,5.815,NA
2018-09-06,5.19,NA
2018-09-07,5.14,NA
2018-09-08,4.895,NA
2018-09-09,4.84,NA
2018-09-10,4.985,NA
2018-09-11,5.01,NA
2018-09-12,4.96,NA
2018-09-13,5.16,NA
2018-09-14,5.3,NA
2018-09-15,5.28,NA
2018-09-16,5.37,NA
2018-09-17,5.125,NA
2018-09-18,4.945,NA
2018-09-19,5.145,NA
2018-09-20,5.495,NA
2018-09-21,5.97,NA
2018-09-22,6.065,NA
2018-09-23,5.975,NA
2018-09-24,5.845,NA
2018-09-25,5.54,NA
2018-09-26,5.48,NA
2018-09-27,5.68,NA
2018-09-28,5.785,NA
2018-09-29,5.74,NA
2018-09-30,5.72,NA
2018-10-01,5.71,NA
2018-10-02,5.66,NA
2018-10-03,5.585,NA
2018-10-04,5.68,NA
2018-10-05,5.79,NA
2018-10-06,5.75,NA
2018-10-07,5.71,NA
2018-10-08,5.82,NA
2018-10-09,5.89,NA
2018-10-10,5.86,NA
2018-10-11,5.46,NA
2018-10-12,5.09,NA
2018-10-13,5.18,NA
2018-10-14,5.18,NA
2018-10-15,5.29,NA
2018-10-16,5.405,NA
2018-10-17,5.375,NA
2018-10-18,5.345,NA
2018-10-19,5.305,NA
2018-10-20,5.325,NA
2018-10-21,5.375,NA
2018-10-22,5.375,NA
2018-10-23,5.39,NA
2018-10-24,5.365,NA
2018-10-25,5.345,NA
2018-10-26,5.345,NA
2018-10-27,5.36,NA
2018-10-28,5.38,NA
2018-10-29,5.245,NA
2018-10-30,5.11,NA
2018-10-31,5.17,NA
2018-11-01,5.23,NA
2018-11-02,5.3,NA
2018-11-03,5.32,NA
2018-11-04,5.41,NA
2018-11-05,5.485,NA
2018-11-06,5.6,NA
2018-11-07,5.685,NA
2018-11-08,5.555,NA
2018-11-09,5.41,NA
2018-11-10,5.365,NA
2018-11-11,5.405,NA
2018-11-12,5.41,NA
2018-11-13,5.265,NA
2018-11-14,4.89,NA
2018-11-15,4.64,NA
2018-11-16,4.6,NA
2018-11-17,4.545,NA
2018-11-18,4.575,NA
2018-11-19,4.315,NA
2018-11-20,3.865,NA
2018-11-21,3.74,NA
